symbol,exchange,name,dayChange,dayChangePercent,dayHigh,dayLow,dayOpen,cmp,fiftyTwoWeekLow,fiftyTwoWeekHigh,epsTrailingTwelveMonths,bookValue,priceToBook,sma50,sma200,marketCap,forwardPE,avgRating
DIXON,NSI,DIXON TECHNOLOGIES,141.55,1.56,9255,9008,9089.5,9238.7,3695.15,9488.2,62.77,290.46,31.81,8103.77,6418.52,552999059456,62.39,2.7 - Hold
POLYCAB,NSI,POLYCAB INDIA LTD,41.15,0.61,6778.95,6650.05,6700,6747.75,3379.05,6900,118.71,544.95,12.38,5703.66,5190.35,1013849456640,41.89,2.2 - Buy
