Signal,Symbol,CMP,SMA200,SMA50,SMA20,target,upside
BUY,EASEMYTRIP,42.33,43.17,44.23,42.89,57.25,35.25
BUY,INDIGOPNTS,1368.5,1438.7,1359.19,1368.77,1746,27.58
BUY,LXCHEM,255.01,265.75,246.53,245.92,337.9,32.5
BUY,METROPOLIS,1990.25,1631.21,1847,1951.19,2570.6,29.16
BUY,RAJESHEXPO,287.25,373.03,297.92,291.71,704.5,145.26
