Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABSLAMC,650.05,475.3,533.54,557.91
SELL,APARINDS,8511.95,6117.32,7670.85,7947.64
SELL,BASF,4901.55,3203.36,4076.82,4437.23
SELL,BAYERCROP,6134.1,5413.97,5461.05,5478.45
SELL,BLUESTARCO,1687.8,1122.71,1476.92,1565.07
SELL,COROMANDEL,1498.35,1155.17,1229.86,1329.12
SELL,GLAXO,2700.7,1892.84,2179.98,2469.54
SELL,GRINDWELL,2711.75,2183.77,2260.04,2493.47
SELL,GUJGASLTD,636.2,500.48,555.35,567.2
SELL,JBCHEPHARM,1885.35,1591.15,1790.59,1786.95
SELL,KEI,4825.9,3192.46,4002.11,4263.81
SELL,NATCOPHARM,1176.45,898.36,1015.17,1044
SELL,PETRONET,323.05,252.11,300.52,304.53
BUY,SANOFI,6513.05,8089.7,8566.35,8891.12
SELL,TIMKEN,4294.15,3154,3529.34,4049.11
