Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ASHOKA,222.56,151.9,179.3,190.9
SELL,ASTRAMICRO,926.5,581.97,733,818.98
SELL,BASF,4901.55,3203.36,4076.82,4437.23
SELL,BAJAJCON,262.22,230.25,237.98,242.23
SELL,BAJAJHIND,41.73,30.2,32.96,32.9
SELL,CMSINFO,487.3,386.23,419.28,446.86
SELL,CHOICEIN,366.9,255.19,329.09,349.72
SELL,DBL,498.05,391.67,446.2,429.44
SELL,DODLA,1061.2,844.54,925.88,933.9
SELL,GANESHHOUC,1007.15,588.52,812.15,848.31
SELL,GODREJAGRO,591.85,517.31,547.14,549.75
SELL,ITDCEM,465.95,298.56,379.97,410.9
SELL,ISGEC,1231.35,896.75,1051.92,1122.41
SELL,KESORAMIND,201.45,144.83,179.55,186.23
SELL,KIRLOSBROS,2010.6,1048.92,1464.97,1739.32
SELL,KIRLOSENG,1289.85,753.23,1084.54,1259.2
SELL,NESCO,981.5,802.5,856.38,882.59
SELL,NAVA,634.9,462.73,516.45,538.05
SELL,ORIENTELEC,244.81,218.32,220.68,229.04
SELL,PGEL,2980.3,2040.93,2211.56,2590.52
SELL,PARAS,964.1,737.37,769.72,861.52
SELL,SANSERA,1223.45,974.95,1040.55,1062.45
SELL,SHARDAMOTR,1691.55,1266.71,1528.74,1582.5
SELL,STAR,941.75,664.2,860.69,872.68
SELL,SUPRAJIT,511.5,402.53,427.83,440.87
SELL,TARC,192.99,132.67,160.9,169.61
SELL,TIRUMALCHM,296.95,231.5,263.74,262.96
SELL,TIMETECHNO,306.9,200,273.61,280.47
SELL,VMART,2821.4,2038.02,2225.88,2366.98
