Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,APARINDS,8511.95,6117.32,7670.85,7947.64
SELL,BIKAJI,714.75,529.46,555.45,598.47
SELL,BLUEDART,8095.5,6670.31,6804.23,7359.65
SELL,BLUESTARCO,1687.8,1122.71,1476.92,1565.07
SELL,CHAMBLFERT,434.85,342.97,394.74,404.38
SELL,CHEMPLASTS,555.85,476.85,483.97,492.26
SELL,CHOLAHLDNG,1274.5,1083.5,1120.15,1149.45
SELL,CAMS,3665.35,2838.15,3284.46,3453.57
SELL,CROMPTON,425.05,307.13,342.25,394.79
SELL,EIDPARRY,720.4,567,634.03,670.43
SELL,ERIS,1023.25,880.08,892.43,932.2
SELL,EXIDEIND,542.3,333.09,453.2,498.6
SELL,FINCABLES,1566.7,1051.55,1157.69,1374.01
SELL,GRSE,1535.05,885.08,1083,1324.76
SELL,GLENMARK,1224.85,893.44,1073.41,1131.77
SELL,GPIL,1063.8,734.45,891.99,955.84
SELL,GESHIP,1188.35,927.68,1040.02,1070.55
SELL,IEX,178.25,143.89,153.07,159.1
SELL,JBCHEPHARM,1885.35,1591.15,1790.59,1786.95
SELL,JKPAPER,446.1,380.66,372.92,389.63
SELL,JWL,700,374.78,476.02,580.16
SELL,KNRCON,382.8,272.21,280.6,313.15
SELL,KAYNES,3721.35,2610.12,2870.11,3294.89
SELL,KEC,868.6,670.29,752.89,778.57
SELL,NATCOPHARM,1176.45,898.36,1015.17,1044
SELL,NBCC,155.19,99.55,137.19,144.38
SELL,POLYMED,1860.55,1524.69,1672.99,1790.33
SELL,PRAJIND,685.7,538.43,533.84,546.56
BUY,SANOFI,6513.05,8089.7,8566.35,8891.12
SELL,SOBHA,2162.25,1214.69,1780.3,1924.26
SELL,SUNTECK,569.45,442.86,451.3,479.52
SELL,TEJASNET,1371.1,875.21,1055.76,1199.39
SELL,USHAMART,414.8,330.06,354.27,358.88
SELL,VGUARD,410.2,318.09,359.59,381.79
BUY,VAIBHAVGBL,328.15,411.9,368.51,342.22
SELL,VTL,478.15,410.25,453.57,457.68
SELL,WHIRLPOOL,1794.8,1471.07,1490.62,1574.03
SELL,ZENSARTECH,715.85,562.64,618,637.92
