symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
RELAXO,Footwear,Consumer Discretionary,829.05,20472.71,102.12,11.04,6.96,51.17,46.76,0.36,8.55,-8.83,-8.72,0.43
SANOFI,Pharmaceuticals,Health Care,7190.75,20379.22,33.8,20.07,6.95,88.45,22.54,1.89,52.63,67.93,42.56,29.98
KAJARIACER,Building Products - Ceramics,Industrials,1336.4,20290.3,48.07,8.44,4.39,68.66,27.16,0.94,15.01,3.65,-5.82,6.64
NXST,Real Estate,Real Estate,135.28,20173.74,33.7,99999,10.07,99999,14.7,0,-0.34,26.79,0.8,2.68
MINDSPACE,Real Estate,Real Estate,337.26,20155.5,38.39,1.35,8.14,13.2,15.6,1.4,3.44,9.3,6.48,-2.51
JYOTICNC,Computer Hardware,Technology Equipment,1230.1,20126.94,133.41,245.27,14.96,1724.67,68.09,0,24.44,183.3,183.3,30.46
KEC,Construction & Engineering,Industrials,892.9,20061.89,57.85,5.32,1,33.07,18.23,0.51,4.76,55.99,45.05,17.7
GODFRYPHLP,FMCG - Tobacco,Consumer Staples,4187.7,20044.7,22.7,5.64,4.33,27.24,18.28,1.45,21.28,144.2,99.18,5.26
KPIL,Power Infrastructure,Utilities,1148.75,19941.89,39.1,4.25,1.01,30.38,13.38,0.65,9.67,111.23,71.85,-10.26
FINPIPE,Building Products - Pipes,Industrials,329.15,19848.74,41.91,4.05,4.38,65.79,23.11,0.78,5.68,87.6,53.38,12.34
RRKABEL,Cables,Industrials,1755.8,19792.92,66.39,13.94,2.97,43.62,38.08,0.29,14.22,46.55,2.75,-0.48
SWANENERGY,Textiles,Consumer Discretionary,657.05,19765.02,65.63,5.29,3.88,99999,27.33,0,-2.25,180.79,31.25,9.51
TEJASNET,Telecom Equipments,Communication Services,1428.95,19731.29,313.29,6.26,7.78,99999,63.46,0,2.06,100.95,72.71,13.55
FINCABLES,Cables,Industrials,1565.85,19616,30.1,4.49,3.68,55.05,20.02,0.62,12.16,83.08,38.15,50.48
WAAREERTL,,,2069.4,19582.14,132.2,230.38,22.26,300.57,93.07,0,96.54,908.92,508.92,0.57
CELLO,FMCG - Household Products,Consumer Staples,899.75,19512.52,58.94,36.38,9.63,85.83,37.19,0.15,65.78,13.65,14.24,-3.9
PPLPHARMA,Pharmaceuticals,Health Care,153.95,19460.51,1092.06,2.87,2.32,40.22,17.8,0,-2.77,67.71,19.06,3.32
WHIRLPOOL,Home Electronics & Appliances,Consumer Discretionary,1831.1,19389.19,89.33,5.29,2.77,71.91,32.79,0.33,6.11,26.32,34.69,12.58
CYIENT,Software Services,Information Technology,1891.7,19240.51,28.18,4.22,2.67,26.5,14.81,1.73,17.03,24.9,-15.91,8.57
CESC,Power Generation,Utilities,149.45,19220.77,13.97,1.69,1.11,9.72,7.59,3.12,12.09,107.57,23,3.8
BASF,Diversified Chemicals,Materials,4908.2,19174.24,34.04,7.1,1.39,36.13,19.59,0.34,16,91.55,60.42,8.42
MCX,Stock Exchanges & Ratings,Financials,3868.45,19120.12,230.06,12.93,25.19,135.2,128.39,0.2,10.28,146.2,21.14,-2.76
CASTROLIND,Commodity Chemicals,Materials,204.87,19095.01,22.1,9,3.7,22.38,14.03,0,43.12,68.13,34.39,2.92
TRIDENT,Textiles,Consumer Discretionary,38.58,19046.73,54.49,4.54,2.77,13.35,20.16,0.96,10.97,17.03,3.99,2.31
NSLNISP,Iron & Steel,Materials,58.35,19034.28,99999,1.12,6.01,12.56,99999,0,-99999,33.52,12.54,-8.71
BEML,Rail,Industrials,4524.05,19018,67.49,7.86,4.64,33.76,39.96,0.45,6.61,187.72,67.29,13.96
CIEINDIA,Auto Parts,Consumer Discretionary,572.05,18977.6,16.87,3.17,1.96,13.72,10.26,1,20.3,8.67,20.71,18.18
VINATIORGA,Specialty Chemicals,Materials,1912.1,18770.74,58.12,8.46,9.68,32.5,36.51,0.38,22.64,4.83,11.47,15.83
TRITURBINE,Heavy Electrical Equipments,Industrials,594.95,18705.47,69.5,24.57,10.9,95.58,47.34,0.22,23.79,41.23,47.14,-8.36
APLLTD,Pharmaceuticals,Health Care,862.5,18672.51,30.32,4.27,2.98,25.79,20.1,1.16,7.12,40.83,10.83,-9.86
KIRLOSENG,Industrial Machinery,Industrials,1322.35,18634.35,42.17,8.09,3.14,99999,20.17,0.47,15.16,216.58,105.73,3.88
SOBHA,Real Estate,Real Estate,2018.65,18463.17,376.03,7.4,5.74,16.05,50.35,0.15,4.24,277.12,107.56,21.29
RAMCOCEM,Cement,Materials,859.8,18385.91,51.08,2.68,1.95,13.03,14.18,0.32,4.66,-8.02,-16.23,12.24
IDFC,Diversified Financials,Financials,121.12,18335.82,17.54,1.58,16.95,4.44,17.05,0,41.36,13.3,-4.37,5.42
PEL,Diversified Financials,Financials,898.75,18317.06,99999,0.69,1.77,693.04,99999,1.23,-5.84,13.31,-6.54,9.03
CGCL,Consumer Finance,Financials,219.24,18309.54,65.53,5.14,7.91,99999,53.61,0.07,7.46,17.43,11.77,-0.97
DEVYANI,Restaurants & Cafes,Consumer Discretionary,171.61,18308.54,387.32,13.58,5.1,30.9,36.56,0,4.09,-11.95,-10.99,14.19
NATCOPHARM,Pharmaceuticals,Health Care,1172.45,18272.79,13.16,3.75,4.43,21.52,9.36,0.95,15.66,85.72,50.56,21.1
ASTERDM,Hospitals & Diagnostic Centres,Health Care,352,18213.51,140.88,3.75,4.88,9.93,39.92,0,9.1,22.48,-10.98,1.04
SIGNATURE,Real Estate,Real Estate,1398.9,18007.15,1112.93,358.85,13.59,99999,338.88,0,-99999,205.07,71.89,5.65
SHYAMMETL,Iron & Steel,Materials,683.8,17823.66,17.22,2.36,1.33,11.83,10.8,0.39,12.81,95.48,26.74,4.77
NCC,Construction & Engineering,Industrials,315.15,17699,24.9,2.73,0.84,16.09,9.78,0.78,9.84,162.41,89.79,17.96
LAXMIMACH,Industrial Machinery,Industrials,16620.7,17688.38,47.34,7.56,3.66,48.58,28.7,0.45,17.74,29.8,22.62,-4.56
SWSOLAR,Renewable Energy Equipment & Services,Industrials,750.3,17665.05,99999,99999,5.66,99999,311.6,0,-351.46,145.4,69.35,-7.62
RITES,Business Support Services,Industrials,692.05,17651.38,38.76,6.49,6.94,31.53,19.43,2.45,20.4,75.76,34.14,-2.02
BLUEDART,Logistics,Industrials,7878.8,17522.84,58.21,14.86,3.29,24.45,20.34,0.34,36.12,18.46,4.28,11.54
ATUL,Diversified Chemicals,Materials,6234.5,17312.34,53.6,3.67,3.61,24.5,24.37,0.34,11.2,-11.19,-12.16,5.26
BATAINDIA,Footwear,Consumer Discretionary,1449.4,17304.95,65.92,12.03,4.89,27.52,22.34,0.89,19.86,-10.87,-13.44,5.27
