symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
GRAPHITE,Electrical Components & Equipments,Industrials,594.4,11504.69,14.24,2.32,2.73,99999,9.39,1.87,4.02,43.14,8.51,-6.39
INOXINDIA,Sea-Borne Tankers,Energy - Fossil Fuels,1354.25,11474.78,58.54,17.68,9.87,91.37,39.89,0.87,32.71,44.08,44.08,1.68
NUVOCO,Cement,Materials,350.3,11404,77.38,1.29,1.06,6.66,9.65,0,0.18,-0.96,-6.51,10.7
RTNINDIA,Power Trading & Consultancy,Utilities,80.19,11274.95,26.46,27.03,1.82,99999,20.78,0,-51,109.37,-3.68,4.66
KPIGREEN,Renewable Energy,Utilities,1794.2,11231.25,69.47,43.55,10.9,70.47,34.51,0.03,53.27,316.9,101.11,-5.65
JUBLPHARMA,Pharmaceuticals,Health Care,731.3,11187.48,145.1,2.07,1.65,16.93,16.78,0.71,-1.14,78.45,41.83,2.9
FORCEMOT,Four Wheelers,Consumer Discretionary,8951,11179.79,28.81,5.96,1.59,21.02,12.84,0.24,7.37,306.53,142.51,2.36
EIDPARRY,Sugar,Consumer Staples,814.8,11115.26,12.35,1.17,0.37,31,5.09,1.6,10.74,73.49,44.88,16.06
BIRLACORPN,Cement,Materials,1539.9,11106.1,26.41,1.86,1.14,13.79,9.73,0.69,0.67,29.01,8.73,5.89
MMTC,Commodities Trading,Industrials,83.41,11085,57.68,7.85,29.72,14.71,48.49,0,247.26,158.24,37.98,10.89
DBREALTY,Real Estate,Real Estate,192.55,11059.64,8.38,5.14,6.55,114.8,9.25,0,-4.55,145.44,-3.8,-4.97
DOMS,Office Supplies,Industrial & Commercial Services,1954.85,10945.25,71.47,30.8,7.07,63.17,39.11,0,31.24,47.42,47.42,8.22
ZYDUSWELL,FMCG - Foods,Consumer Staples,1834.45,10909.41,40.87,2.13,4.66,118.96,36.05,0.29,6.23,23.32,13.73,4.89
BAJAJELEC,Home Electronics & Appliances,Consumer Discretionary,1049.95,10865.29,82.44,5.7,2.3,24.16,30.86,0.36,11.97,-3.66,4.23,12.63
AETHER,Specialty Chemicals,Materials,878.65,10859.84,131.67,8.73,17.04,99999,68.31,0,15.99,-11.99,-4.91,8.63
EQUITASBNK,Private Banks,Financials,105.08,10850.27,13.58,2.1,1.73,99999,9.04,1.02,12.2,19.54,-0.45,8.73
JKTYRE,Tires & Rubber,Consumer Discretionary,392.8,10844.8,13.79,3.1,0.72,8.86,7.42,1.02,8.15,105.87,3.72,-1.41
USHAMART,Iron & Steel,Materials,389.05,10832.05,25.55,5.32,3.3,43.05,17.03,0.78,18.76,38.98,25.16,12.56
ECLERX,Outsourced services,Information Technology,2382.2,10819.81,21.16,6.3,3.62,21.97,12.31,0.04,29.76,33.83,-6.01,1.59
VESUVIUS,Industrial Machinery,Industrials,5395,10763.62,50.55,9.02,6.57,130.66,31.87,0.24,19.43,140.55,49.67,5.4
ICICIB22,Equity,ETF,110.72,10739.05,99999,99999,99999,99999,99999,0,-99999,67.83,23.89,3.24
CUB,Private Banks,Financials,157.05,10728.63,10.56,1.44,1.78,106.86,3.31,1.04,13.35,26.3,-3.18,4.59
BBTC,Tea & Coffee,Consumer Staples,1621.55,10720.8,15.66,1.84,0.61,4.33,4.23,0.08,-26.59,55.45,20.5,5.42
RPOWER,Power Generation,Utilities,30.83,10685.14,99999,0.8,1.04,2.66,19.85,0,-3.53,96.37,29.81,17.94
MAPMYINDIA,Software Services,Information Technology,2008.05,10664.89,79.61,19.67,25.54,118.64,53.73,0.18,21.71,71.83,-4.81,-1.02
BANKBEES,Equity,ETF,526.16,10625.95,99999,99999,99999,99999,99999,0,-99999,18.49,7.69,5.23
GODREJAGRO,Agro Products,Consumer Staples,618.5,10535.89,29.29,3.84,1.09,12.05,15.53,1.82,11.12,35.77,10.41,8.51
GRANULES,Pharmaceuticals,Health Care,468.9,10390.35,25.64,3.67,2.3,14.06,13.03,0.35,19.06,59.08,17.15,17.14
ELECTCAST,Building Products - Pipes,Industrials,165.59,10305.14,13.93,2.35,1.36,22.79,9.73,0.81,7.44,195.17,43.18,-3.7
GLS,Pharmaceuticals,Health Care,845.6,10294.73,21.86,4.81,4.49,32.85,14.58,2.68,22.28,42.33,31.02,5.52
UJJIVANSFB,Private Banks,Financials,50.05,10238.51,7.99,2.43,1.58,9.66,4.56,0,31.37,34.12,-16.16,-6.87
MAHSEAMLES,Building Products - Pipes,Industrials,676.2,10222.8,10.75,2.14,1.84,11.21,7.33,1.31,17.46,43.01,-27.17,-16.88
MOIL,Mining - Manganese,Materials,507.55,10189.52,34.74,4.54,6.6,48.05,17.38,1.21,11.43,210.62,63.83,-4
HAPPYFORGE,"Auto, Truck & Motorcycle Parts",Automobiles & Auto Parts,1198,10130.79,41.7,10.25,7.39,48.37,25.81,0,23.5,16.22,16.22,15.4
METROPOLIS,Hospitals & Diagnostic Centres,Health Care,1949.35,10095.92,78.99,10.19,8.3,40.86,35.17,0,15.21,41.82,18.98,6.76
LATENTVIEW,IT Services & Consulting,Information Technology,495.75,10064.02,63.44,8.33,14.09,103.28,44.29,0,13.92,41.16,5.61,1.31
PURVA,Real Estate,Real Estate,420.55,10052.78,237.88,5.04,4.45,69.24,23.84,1.49,3.29,360.37,118.13,-4.43
ALKYLAMINE,Specialty Chemicals,Materials,2004.95,10021.58,67.32,7.91,6.88,36.45,37.6,0.51,12.22,-26.43,-14.09,-1.77
TEGA,Industrial Machinery,Industrials,1661.45,10005.61,51.61,9.54,6.59,56.04,29.56,0,20.62,79.66,57.66,8.58
HGINFRA,Construction & Engineering,Industrials,1729.35,9965.97,18.5,5.19,1.84,99999,10.57,0.1,29.38,96.26,98.78,28.26
CAPLIPOINT,Pharmaceuticals,Health Care,1401.8,9897.87,21.65,5.19,5.62,36.47,15,0.19,22.02,72.15,8.09,7.21
GPPL,Ports,Industrials,199.79,9896.01,28.93,4.28,9.22,26.74,15.02,1.81,13.75,75.1,33.42,-3.25
REDTAPE,Retail - Apparel,Consumer Discretionary,761.65,9873.83,56.02,20.71,5.32,79.51,30.27,0,34.98,54.23,64.08,3.42
GENUSPOWER,Electronic Equipments,Information Technology,304.9,9862.91,113.8,10.06,7.68,114.22,44.74,0,2.99,171.26,30.55,-4.68
SFL,Home Furnishing,Consumer Discretionary,938.95,9846.89,53.97,6.12,3.15,46.45,21.96,0,13.37,-21.54,-25.49,0.98
MINDACORP,Auto Parts,Consumer Discretionary,466.9,9839.45,43.3,6.19,2.11,25.4,19.6,0.79,19.48,63.28,16.42,12.64
SAFARI,Apparel & Accessories,Consumer Discretionary,2084.5,9837.57,55.96,23.11,6.29,194.23,33.94,0.19,34.42,37.82,-1.9,-0.69
CANFINHOME,Home Financing,Financials,866.25,9834.1,13.1,2.7,2.79,99999,39.78,0.81,18.51,16.24,10.61,17.38
THOMASCOOK,Tour & Travel Services,Consumer Discretionary,240.25,9789.78,37.79,5.85,1.32,15.09,16.58,0.19,0.39,218.21,66.49,4.71
TTKPRESTIG,Home Electronics & Appliances,Consumer Discretionary,757.85,9727.24,42.57,5.01,3.53,48.89,23.79,0.86,13.85,1.68,-0.23,6.61
BIRET,Real Estate,Real Estate,268.06,9717.19,99999,1.17,5.24,10.54,11.28,6.12,1.52,1.8,7.05,3.3
JUNIPER,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,483.35,9683.3,406.86,27.31,11.72,33.81,37.9,0,-0.42,20.39,20.39,3.65
IBULHSGFIN,Home Financing,Financials,173.72,9659.28,7.95,0.56,1.12,2.41,32.84,1.04,6.64,72.62,-14.71,7.45
GNFC,Fertilizers & Agro Chemicals,Materials,696.95,9645.19,19.41,1.06,1.15,7.02,7.54,2.66,17.22,18.44,-5.65,5.3
CEATLTD,Tires & Rubber,Consumer Discretionary,2486.4,9598.6,14.94,2.78,0.8,7.96,7.34,1.26,5.51,21.49,1.9,4.83
INDIGRID,Power Transmission & Distribution,Utilities,135.43,9591.9,33.61,1.9,3.21,4.71,8.99,2.59,8.65,-0.32,4.94,-1.41
PRAJIND,Construction & Engineering,Industrials,684.3,9575.74,33.79,8.88,2.73,59.06,20.9,1.15,24.05,73.99,21.85,31.92
ELANTAS,Electrical Components & Equipments,Industrials,12133.15,9525.74,69.38,13.01,13,71.4,45.65,0.04,20.64,90.04,54.11,5.63
PCBL,Commodity Chemicals,Materials,253.73,9500.73,19.35,3.35,1.47,18.85,9.72,2.19,16.18,60.79,-0.69,-5.49
NATIONSTD,Real Estate,Real Estate,4747.25,9500,644.5,38.87,250.73,740.45,476.14,0,3.44,-3.99,1.61,-2.63
BENGALASM,Diversified Financials,Financials,8544.9,9484.96,2.44,1.27,0.57,6.6,3.14,0.48,13.77,75.48,9.17,4.73
JKLAKSHMI,Cement,Materials,831.25,9478.32,20.09,3.34,1.38,14.94,9.34,0.81,13.35,14.49,-3.51,7.52
ARVIND,Apparel & Accessories,Consumer Discretionary,369.6,9417.39,27.98,2.77,1.21,14.14,12.29,1.32,12.62,180.32,48.79,-0.97
CRAFTSMAN,Industrial Machinery,Industrials,4890.5,9358.05,30.74,5.34,2.09,18.23,12.4,0.25,19.09,21.02,-7.08,7.57
SARDAEN,Iron & Steel,Materials,227.61,9306.39,17.79,2.65,2.3,13.27,10.3,0.38,18.2,61.27,-11.68,-14.37
CERA,Building Products - Ceramics,Industrials,8118,9267.08,38.78,6.82,4.78,39.26,23.56,0.84,18.81,2.6,-0.34,12.49
SAREGAMA,Movies & TV Serials,Communication Services,556.8,9199.03,46.56,6.84,10.61,98.46,27.26,0.9,13.6,74.68,51.99,29.25
KIRLFER,,,699.35,9151.21,38.43,3.04,1.48,11.47,13.5,0.46,14,45.56,26.16,7.91
QUESS,Employment Services,Industrials,609.05,9112.54,32.8,3.34,0.48,19.54,13.9,1.63,8.47,40.41,17.12,-1.08
MAHLIFE,Real Estate,Real Estate,630.8,9063.49,92.26,5.02,19.76,99999,120.12,0.45,5.57,36.2,17.82,2.58
ROUTE,IT Services & Consulting,Information Technology,1547.65,9023.97,24.06,4.94,2.21,123.26,14.56,0.76,18.67,-1.64,-3.67,8.23
MIDHANI,Metals - Diversified,Materials,459.95,8985.76,97.89,6.99,8.15,99999,42.12,0.29,12.63,61.87,12.66,-3.16
GSFC,Fertilizers & Agro Chemicals,Materials,239.82,8949.81,15.87,0.74,0.94,9.69,8.36,1.78,10.63,49.98,3.86,-1.8
SBFC,Specialized Finance,Financials,86.28,8944.91,37.72,3.22,8.77,99999,37.79,0,10.53,-6.42,-6.62,4.62
RAJESHEXPO,"Precious Metals, Jewellery & Watches",Consumer Discretionary,287.35,8939,26.64,0.61,0.03,19.3,13.27,0,10.54,-49.27,-25.34,-4.6
ESABINDIA,Industrial Machinery,Industrials,6094.55,8901.32,54.62,34.2,7.12,68.87,37.79,1.07,53.79,52.54,3.46,5.71
RENUKA,Sugar,Consumer Staples,51.1,8875.8,99999,99999,0.78,9.58,19.74,0,-99999,17.88,4.93,12.49
SAPPHIRE,Restaurants & Cafes,Consumer Discretionary,1559.3,8866.9,167.93,7.07,3.37,23.22,19.29,0,20.66,13.41,10.67,9.27
GALAXYSURF,Specialty Chemicals,Materials,2654.5,8838.16,29.32,4.69,2.31,15.43,17.92,0.88,22.04,-6.8,-4.04,2.01
TRIL,Heavy Electrical Equipments,Industrials,768.45,8819.73,198.2,15.67,6.78,302.67,64.7,0.03,9.23,789.03,305.09,26.42
IWEL,Heavy Electrical Equipments,Industrials,7057.9,8775.27,99999,3.69,4.85,99999,39.46,0,-16.46,208.02,48.3,-4.07
IBREALEST,Real Estate,Real Estate,136.92,8771.82,99999,2.39,18.71,99999,99999,0,-17.15,122.09,42.33,7.86
INFIBEAM,IT Services & Consulting,Information Technology,31.9,8766.07,55.44,2.77,2.74,77.56,30.37,0.15,4.56,101.26,40.84,0.22
STARCEMENT,Cement,Materials,217.22,8750.51,29.65,3.62,2.98,23.32,14.54,0,10.8,51.32,22.9,-5.19
VARROC,Auto Parts,Consumer Discretionary,678.1,8749.31,16.63,8.71,1.15,13.24,12.4,0,-54.33,110.9,27.18,17.38
ISGEC,Heavy Machinery,Industrials,1256.95,8736.78,35.85,3.65,1.4,42.07,18.76,0,8.55,97.59,32.65,15.28
HEG,Electrical Components & Equipments,Industrials,2305.7,8733.58,28.02,2.04,3.34,77.07,14.3,0.99,12.99,41.28,26.37,-11.36
RCF,Fertilizers & Agro Chemicals,Materials,185.22,8675.3,38.51,1.89,0.5,11.02,14.61,0.79,22.81,70.55,19.34,18.54
MAHSCOOTER,Two Wheelers,Consumer Discretionary,8047.05,8661.48,43.46,0.45,38.75,41.49,42.3,2.24,0.93,47.86,1.23,6.55
BANKNIFTY1,Equity,ETF,528.37,8642.35,99999,99999,99999,99999,99999,0,-99999,19.05,7.86,4.96
NETWORK18,Movies & TV Serials,Communication Services,84.09,8605.92,99999,1.87,0.85,99999,127.17,0,-1.83,26.45,-4.06,2.5
WOCKPHARMA,Pharmaceuticals,Health Care,572.6,8600.42,99999,2.35,2.99,39.27,99.36,0,-12.64,143.82,37.86,3.19
SHRIPISTON,Auto Parts,Consumer Discretionary,1927.1,8571.66,19.37,5.56,2.7,21.69,11.28,1.03,20.99,133.21,74.62,-4.97
AHLUCONT,Construction & Engineering,Industrials,1206,8560.68,22.84,6.97,2.09,28.41,12.96,0.04,17.14,91.95,47.09,-0.46
SYRMA,Electronic Equipments,Information Technology,475.7,8501,79.2,5.51,2.65,99999,34.19,0.31,11.23,7.97,-29.71,16.47
AZAD,Renewable Energy Equipment & Services,Industrials,1981.8,8473.26,144.67,41.54,22.73,99999,58.7,0,5.23,192.52,192.52,30.46
SHOPERSTOP,Retail - Department Stores,Consumer Discretionary,732.9,8448.33,109.36,41,1.93,15.55,14.02,0,82.28,-8.73,7.49,-3.67
RATEGAIN,Software Services,Information Technology,752.15,8438.42,58.04,11.89,8.45,162.53,35.19,0,10.3,91.1,4.92,6.76
EMIL,Home Electronics & Appliances,Consumer Discretionary,237.9,8418.3,45.76,7.11,1.34,99999,20.99,0,13.79,190.48,17.16,7.13
SANDUMA,Mining - Diversified,Materials,603.5,8408.8,35.12,4.35,6.3,59.06,19.03,0.19,15.07,182.65,37.42,1.99
EUREKAFORBE,,,429.75,8400.87,87.83,2.05,3.82,46.51,43.92,0,0.65,-25.97,-17.66,-5.37
MEDPLUS,Online Services,Communication Services,698.55,8378.41,127.93,5.62,1.48,92.67,22.82,0,3.42,-12.7,-8.73,1.55
ANURAS,Specialty Chemicals,Materials,782.15,8375.57,65.12,3.34,5.56,28.68,21.18,0.16,8.54,-27.67,-24.18,2.1
SETFNIF50,Equity,ETF,247.58,8375.51,99999,99999,99999,99999,99999,0,-99999,27.14,10.59,5.02
EBBETF0423,Debt,ETF,1230.39,8369.7,99999,99999,99999,99999,99999,0,-99999,-99999,-99999,-99999
RESPONIND,Building Products - Granite,Industrials,317.35,8363.51,51.86,8.05,7.57,1201.65,32.88,0.03,2.35,84.99,-0.05,3.62
KTKBANK,Private Banks,Financials,226.91,8350.39,6.39,1.02,0.87,4.56,1.4,0,15.41,44.44,-5.41,0.91
ZENTEC,Electronic Equipments,Information Technology,1178.05,8144.67,63.69,24.66,17.82,70,40.37,0.1,13.78,197.37,55.18,25.22
NEULANDLAB,Pharmaceuticals,Health Care,6500.6,8125.87,27.08,8.17,5.17,34.26,17.25,0.22,17.83,121.83,24.86,5.45
MHRIL,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,435.15,8124.95,70.33,20.39,2.88,11.92,15.91,0,34.97,50.52,13.76,6.34
RTNPOWER,Power Generation,Utilities,18.07,8108.86,0.91,99999,0.57,7.99,1.59,0,-99999,335.42,93.26,33.12
RUSTOMJEE,Real Estate,Real Estate,707.75,8100.87,72.19,4.8,3.52,26.46,45.51,0,6.19,27.8,20.28,0.25
JUSTDIAL,Online Services,Communication Services,998.8,8050.76,22.18,2,5.97,31.07,6.73,0,9.44,29.8,23.69,2.2
JUBLINGREA,Specialty Chemicals,Materials,555.8,8034.73,43.93,3.01,1.93,17.37,18.31,0.99,12.06,19.81,15.47,-2.76
PGHL,Pharmaceuticals,Health Care,5004.2,7962.64,34.7,10.6,6.38,33.74,21.96,1.28,33.56,-1.65,0.01,4.2
VIJAYA,Hospitals & Diagnostic Centres,Health Care,775.6,7950.63,66.91,14.54,13.98,48.3,33.15,0.13,16.66,91.42,23.41,-1.42
KAMAHOLD,Conglomerates,Industrials,2566.55,7931.51,9.08,0.73,0.59,2.63,6.53,0,12.7,4.7,-6.56,-2.37
STAR,Pharmaceuticals,Health Care,956.75,7889.99,99999,3.63,1.9,177.66,22.25,0,-8.89,126.74,59.07,13.7
PICCADIL,Sugar,Consumer Staples,754.55,7882.52,71.82,34.05,9.74,210.54,44.54,0,10.19,1038.59,212.7,-10.99
TVSSCS,Logistics,Industrials,174.29,7844.92,99999,10.32,0.85,11.02,14.53,0,5.26,-13.09,-14.48,-0.47
BALRAMCHIN,Sugar,Consumer Staples,440.85,7836.95,14.66,2.71,1.35,17.3,9.72,0.77,10.03,11.59,11.09,12.86
POWERMECH,Construction & Engineering,Industrials,4998,7834.04,31.55,6.14,1.85,42.98,15.65,0.04,18,50.51,17.31,1.48
EASEMYTRIP,Tour & Travel Services,Consumer Discretionary,42.89,7814.7,75.8,21.1,12.83,99999,50.42,0,44.28,-1.18,9,-3.62
CAMPUS,Apparel & Accessories,Consumer Discretionary,280.45,7809.97,87.32,14.15,5.38,61.75,37.71,0,23.91,-13.35,-1.39,9.38
ICIL,Textiles,Consumer Discretionary,366.95,7724.12,22.86,4.31,2.15,10.07,13.85,0.56,16.36,87.22,25.11,-2.62
ACI,Commodity Chemicals,Materials,671.9,7712.93,24.18,4.53,5.62,20.33,14.66,0.48,20.36,20.99,8.01,5.81
KNRCON,Construction & Engineering,Industrials,358.15,7658.02,9.85,2.79,1.67,6.41,6.75,0.09,17.26,45.65,34.29,44.63
FDC,Pharmaceuticals,Health Care,461.15,7648.82,25.06,3.86,3.74,49.38,16.34,0,9.86,49.26,17.64,-5.37
MARKSANS,Pharmaceuticals,Health Care,157.91,7633.54,24.33,4.32,3.43,32.15,13.87,0.36,17.83,72.67,-1.67,-3.56
TV18BRDCST,TV Channels & Broadcasters,Communication Services,42.84,7628.9,99999,1.23,0.78,99999,57.13,0,1.86,6.57,-15.67,0.7
MASTEK,IT Services & Consulting,Information Technology,2728.8,7627.49,25.4,4.3,2.48,70.84,15.09,0.75,19.56,37.72,-2.16,6.64
CCL,Tea & Coffee,Consumer Staples,603.1,7610.53,30.43,5.13,2.86,38.37,18.7,0.79,19.68,-8.6,-4.11,7.73
ASTRAMICRO,Communication & Networking,Information Technology,985.2,7595.6,62.74,11.82,8.15,99999,35.63,0.23,11.37,176.97,58.3,34.35
KIRLPNU,Industrial Machinery,Industrials,1285.05,7589.79,56.95,9.54,5.66,190.75,34.9,0.55,14.94,95.76,109.7,4.71
TRIVENI,Sugar,Consumer Staples,414.15,7544.32,19.09,2.83,1.43,18.98,12.19,1.67,78.28,34.55,20.36,8.49
JLHL,Hospitals & Diagnostic Centres,Health Care,1246.8,7533.21,42.65,20.7,6.88,42.71,29.77,0.08,22.35,17.43,6.55,0.16
PRSMJOHNSN,Cement,Materials,168.86,7512.6,41.48,5.12,0.95,12.69,11.54,0,-6.74,32.13,-6.81,13.88
TMB,Private Banks,Financials,473.75,7512.19,7.01,1.08,1.37,99999,2.82,2.11,16.78,11.29,-8.89,0.18
CHEMPLASTS,Building Products - Pipes,Industrials,581.1,7510.2,99999,4.04,1.88,21.13,69.02,0,8.55,28.36,20.65,22.48
GREENLAM,Building Products - Laminates,Industrials,607.3,7494.96,54.16,7.74,3.22,42.79,24.86,0.28,15.82,40.58,6.53,7.53
JMFINANCIL,Investment Banking & Brokerage,Financials,82.47,7463.18,18.21,0.66,1.54,99999,59.41,2.56,5.46,9.96,-19.19,4.01
JSWHL,Asset Management,Financials,6857,7462.16,47.97,0.38,44.01,25.01,47.37,0,1.68,48.29,34.5,2.12
MANINFRA,Construction & Engineering,Industrials,195.94,7456.56,24.82,6.51,5.41,16.64,16.77,0.27,24.92,73.24,-6.67,0.68
EDELWEISS,Diversified Financials,Financials,69.1,7334.93,17.44,0.93,0.76,4.26,47.08,3.49,4.46,34.83,-17.44,-17.03
GRAVITA,Metals - Lead,Materials,1415.9,7322.58,30.61,12.17,2.26,36.68,21.15,0.49,40.12,125.97,29.86,32.67
VIPIND,Apparel & Accessories,Consumer Discretionary,473.4,7295.97,134.36,11.37,3.23,41.72,32.84,0.39,25.36,-27.39,-22.67,-10.29
SPARC,Pharmaceuticals,Health Care,232.98,7257.93,99999,14.15,69.11,99999,99999,0,-81.83,18.44,-11.88,8.04
NAVA,Iron & Steel,Materials,720.6,7252.86,7.69,1.02,1.78,5.93,5.36,0.8,14.51,128.29,55.35,37.94
SOUTHBANK,Private Banks,Financials,27.92,7233.37,6.76,1.08,0.71,99999,0.1,0.94,12.38,67.92,9.92,-0.89
BECTORFOOD,FMCG - Foods,Consumer Staples,1442.35,7211.61,51.38,13.25,4.39,43.96,27.75,0.16,17.78,83.69,28.75,10.27
LLOYDSENGG,Industrial Machinery,Industrials,68.69,7168.33,89.78,36.69,11.35,99999,66.51,0,22.29,183.94,49,11.52
KENNAMET,,,3608.55,7148.86,81.51,10.39,6.61,61.73,45.07,0.61,13.14,38.24,53.88,20.61
LTFOODS,Packaged Foods & Meats,Consumer Staples,260.26,7125.63,12.01,2.55,0.91,27.58,8.05,0,16.28,91.93,29.48,16.56
HOMEFIRST,Home Financing,Financials,1074.65,7119.16,23.29,3.36,6.16,99999,33.03,0,15.52,29.7,7.42,27.29
BALAMINES,Specialty Chemicals,Materials,2243.65,7100.03,34.66,4.18,4.25,18.58,19.79,0.5,21.61,-5.31,-7.01,-0.6
AVANTIFEED,Packaged Foods & Meats,Consumer Staples,639.35,7096.35,19.87,2.99,1.29,15.73,10.31,1.3,12.32,64.67,57.65,19.39
DEEPAKFERT,Fertilizers & Agro Chemicals,Materials,645.5,7063.64,15.96,1.36,0.8,14.32,6.95,1.52,26.32,14.34,-8.5,12.59
RELIGARE,Investment Banking & Brokerage,Financials,224.62,7049.07,30.27,2.63,1.08,4.68,14.82,0,287.29,32.71,1.27,6.53
TCI,Logistics,Industrials,910.15,7010.59,19.98,4.05,1.69,19.44,12.95,0.5,19.9,27.28,12.62,-1.24
CMSINFO,Software Services,Information Technology,461.35,7001.22,20.17,4.48,3.05,17.21,10.42,1.27,21.09,35.37,18.29,9.98
HMT,Industrial Machinery,Industrials,57.33,6995.77,99999,99999,26.79,67.97,99999,0,-99999,91.74,4.9,5.4
SYMPHONY,Home Electronics & Appliances,Consumer Discretionary,1216,6985.69,47.2,7.93,5.79,55.86,32,1.3,13.49,33.59,38.82,22.97
MCLOUD,IT Services & Consulting,Information Technology,597.6,6985.27,67.94,23.51,12.09,43.75,35.52,0,39.48,156.1,29.31,-0.02
PRINCEPIPE,Building Products - Pipes,Industrials,683.65,6972.53,38.21,5.11,2.68,19.36,19.97,0.16,9.24,1.76,-7.34,6.42
LXCHEM,Specialty Chemicals,Materials,254.43,6951.05,57.67,4.92,2.4,34.92,25.38,0.23,9.22,-4.33,-11.7,-3.14
ALLCARGO,Logistics,Industrials,62.73,6918.79,46.22,2.22,0.52,4.37,9.96,1.89,18.91,-13.25,-12.54,-9.83
GAEL,Agro Products,Consumer Staples,140.7,6902.99,19.96,2.84,1.36,28.6,10.98,0.23,14.5,12.58,-26.01,-6.73
PTC,Power Trading & Consultancy,Utilities,206.66,6874.79,16.09,1.17,0.41,1.92,11.34,0,7.82,80.1,11.2,-6.99
CHOICEIN,Investment Banking & Brokerage,Financials,374,6867.61,53.29,14.25,9.04,26.07,36.42,0,13.53,92.91,68.58,9.12
JINDWORLD,Textiles,Consumer Discretionary,354.4,6855.79,90.64,10.55,3.77,22.39,39.81,0.06,19.52,5.82,10.49,2.33
ITDCEM,Construction & Engineering,Industrials,472.45,6832.85,24.96,5.5,0.88,14.51,8.62,0.43,10.46,183.41,60.72,27.04
PRUDENT,Asset Management,Financials,1843.05,6814.09,49.11,19.47,8.26,53.77,32.1,0.12,39.72,100.51,53.38,14.19
HCC,Construction & Engineering,Industrials,47.51,6811.16,14.24,99999,0.85,402.79,6.79,0,-99999,172.68,57.87,28.11
SENCO,"Precious Metals, Jewellery & Watches",Consumer Discretionary,1029.35,6794.06,37.53,7.19,1.29,99999,18.54,0.08,18.96,153.97,38,16.81
PGEL,Electronic Equipments,Information Technology,3182.45,6789.25,50.33,17.15,2.46,148.43,26.66,0.07,21.89,94.49,31.56,35.86
RELINFRA,Power Infrastructure,Utilities,209.82,6772.08,99999,0.49,0.29,1.96,6.56,0,-21.27,39.18,0.08,23.63
NHIT,Roads,Industrials,127.5,6746.84,22.93,0.91,6.92,10.82,12.43,0,3.82,6.74,7.59,-0.39
MSTCLTD,Commodities Trading,Industrials,885.6,6712.64,32.85,8.53,6.98,7.57,14.41,1.1,33.59,164.99,72.95,-5.42
EBBETF0430,Debt,ETF,1376,6636.67,99999,99999,99999,99999,99999,0,-99999,7.34,4.45,0.8
MTARTECH,Industrial Machinery,Industrials,1870.6,6608.54,117.78,10.66,11.27,891.84,56.48,0,18.14,-3.99,-19.15,-5
SUNTECK,Real Estate,Real Estate,598.7,6583.83,92.82,2.36,10.61,25.13,41.14,0.32,0.05,111.11,30.28,24.66
ROLEXRINGS,Industrial Machinery,Industrials,2502.3,6583.38,42.19,8.86,5.32,30.84,27.06,0,30.76,22.53,4.07,12.94
GANESHHOUC,Real Estate,Real Estate,990.4,6559.23,14.24,5.57,7.3,213.93,10.01,1.4,9.74,169.75,150.61,22.03
GALLANTT,Iron & Steel,Materials,347.85,6529.06,28.97,2.93,1.54,68.32,15.5,0.37,6.54,497.17,202.08,12.47
EMUDHRA,IT Services & Consulting,Information Technology,852.4,6523.91,86.92,9.85,17.17,89.96,53.98,0.15,14.24,107.22,93.77,7.81
BLUEJET,Pharmaceuticals,Health Care,398.7,6515.36,39.79,9.56,8.8,46.03,25.23,0.27,26.61,-3.56,10.14,6.85
IONEXCHANG,Environmental Services,Industrials,512.3,6497.49,33.15,7.77,2.71,103.58,18.94,0.03,26.4,26.09,-14.14,0.17
BBETF0432,Debt,ETF,1151.87,6496.91,99999,99999,99999,99999,99999,0,-99999,7.06,4.46,0.7
BORORENEW,Housewares,Consumer Discretionary,491,6476.63,99999,6.87,4.55,99999,62.73,0,8.06,-10.52,12.24,-0.52
INDIACEM,Cement,Materials,218.6,6473.75,99999,1.11,1.24,99999,45.67,0,-2.14,-2.04,-18.66,4.55
INDIGOPNTS,Paints,Materials,1363.9,6459.31,43.85,8.32,4.89,55.63,24.94,0,18.5,-4.05,-7.84,-1.14
GARFIBRES,Textiles,Consumer Discretionary,4106.95,6435.31,30.91,6.33,4.7,33.98,20.69,0.09,17.33,29.12,24.43,28.1
KRBL,Packaged Foods & Meats,Consumer Staples,300.7,6411.21,10.76,1.37,1.17,99999,7.32,1.47,16,-14.57,-15.71,6.89
JKPAPER,Paper Products,Materials,495.45,6399.17,5.7,1.51,0.93,3.63,4.56,2.25,32.82,53.15,27.4,38.17
INFRATRUST,Construction & Engineering,Industrials,92,6347.84,11.62,0.94,2.26,3.97,7.77,0,7.83,-8,-1.08,-99999
KIRLOSIND,Investment Banking & Brokerage,Financials,6125.25,6300.24,32.89,1.28,0.98,8.28,11.19,0.2,4.99,96,80.65,-2.93
INDINFR,Roads,Industrials,101,6266.15,99999,1.02,1.81,4.23,6.29,20.54,-3.22,-99999,-99999,-99999
