Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,DMART,4862.25,4003.63,4598.86,4633.92
SELL,COLPAL,2960.05,2382.64,2734.23,2737.5
SELL,DABUR,600.25,541.35,531.38,555.66
SELL,GODREJCP,1426.8,1124.6,1255.72,1317.07
SELL,MARICO,645.5,541.79,546.03,600.35
SELL,PIDILITIND,3166.2,2676.6,2973.43,2989.4
SELL,MOTHERSON,152.05,108.18,128.57,136.99
SELL,TVSMOTOR,2351.8,1865.55,2096.24,2171.49
SELL,TORNTPHARM,2780.4,2299,2629.2,2659.41
SELL,TRENT,4903.8,3154.73,4312.19,4607.75
SELL,MCDOWELL-N,1298.5,1094.23,1170.97,1189.36
