Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,BAJAJ-AUTO,9335.45,6831.15,8759.14,8496.93
SELL,M&M,2634,1769.75,2169.13,2407.46
SELL,RELIANCE,3020.65,2645.38,2905.2,2873.31
SELL,NTPC,391.8,294.65,353.78,363.06
SELL,POWERGRID,337.65,242.39,294,312.66
SELL,COALINDIA,512.35,371.45,456.35,475.9
SELL,ADANIPORTS,1583.95,1075.36,1340.51,1364.63
SELL,AXISBANK,1223.9,1057.71,1103.11,1149.32
SELL,SBIN,905.65,665.62,790.89,824.71
SELL,LT,3897.15,3282.21,3594.44,3509
SELL,BPCL,666.15,483.26,610.16,628.62
BUY,HDFCLIFE,550.1,620.2,591.18,558.62
SELL,BHARTIARTL,1391.1,1071.99,1286.55,1336.64
