Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
SUPREMEIND,2021-06-29,2172.05,2021-10-22,2368.15,196.1,9.03,115,28.66
FINEORG,2021-06-29,2871.75,2021-10-12,3344.45,472.7,16.46,105,57.22
HEROMOTOCO,2021-06-29,2927.5,2021-10-13,2925.2,-2.3,-0.08,106,-0.28
NMDC,2021-06-29,139.55,2022-03-11,120.91,-18.64,-13.36,255,-19.12
NAM-INDIA,2021-06-29,366.9,2021-08-12,384.3,17.4,4.74,44,39.32
ITC,2021-06-29,203.3,2021-10-20,246.6,43.3,21.3,113,68.8
GILLETTE,2021-06-29,5703.6,2021-08-13,5927.4,223.8,3.92,45,31.8
PAGEIND,2021-06-30,29522,2021-08-24,31242.2,1720.2,5.83,55,38.69
SANOFI,2021-07-01,7660.8,2021-08-30,8816.7,1155.9,15.09,60,91.8
TIINDIA,2021-07-02,1175.65,2021-09-29,1381.05,205.4,17.47,89,71.65
BAJAJ-AUTO,2021-07-02,4175.35,2022-04-18,3714.6,-460.75,-11.04,290,-13.9
COLPAL,2021-07-02,1689.55,2021-10-12,1706.15,16.6,0.98,102,3.51
NESTLEIND,2021-07-02,1760.2,2021-08-02,1771.46,11.26,0.64,31,7.54
COALINDIA,2021-07-06,147.5,2021-10-18,185.3,37.8,25.63,104,89.95
EICHERMOT,2021-07-07,2710.85,2021-10-05,2760.1,49.25,1.82,90,7.38
HDFCAMC,2021-07-09,2920.95,2022-11-18,2052.55,-868.4,-29.73,497,-21.83
3MINDIA,2021-07-28,24742.3,2021-09-30,24832.5,90.2,0.36,64,2.05
GRINDWELL,2021-08-03,1233.75,2021-08-12,1237.5,3.75,0.3,9,12.17
PETRONET,2021-08-04,215.5,2021-10-07,230.4,14.9,6.91,64,39.41
AKZOINDIA,2021-08-18,2225.15,2022-08-01,1946.75,-278.4,-12.51,348,-13.12
GRINDWELL,2021-08-20,1191.05,2021-09-30,1372.65,181.6,15.25,41,135.76
DBCORP,2021-09-06,90.95,2021-10-26,102.05,11.1,12.2,50,89.06
DRREDDY,2021-09-07,4897.45,2022-11-15,4433.7,-463.75,-9.47,434,-7.96
GRSE,2021-09-08,194.95,2021-11-16,262.05,67.1,34.42,69,182.08
TANLA,2021-09-08,880.05,2021-11-25,1582.25,702.2,79.79,78,373.38
COROMANDEL,2021-09-14,827.2,2022-04-20,837.5,10.3,1.25,218,2.09
CASTROLIND,2021-09-14,138.45,2021-10-14,146.75,8.3,5.99,30,72.88
SUNTV,2021-09-15,508.3,2021-11-09,581.1,72.8,14.32,55,95.03
NBCC,2021-09-15,45,2022-12-13,41.35,-3.65,-8.11,454,-6.52
GPIL,2021-09-17,323,2021-11-03,330.9,7.9,2.45,47,19.03
GLAXO,2021-09-17,1538.95,2021-12-02,1691.95,153,9.94,76,47.74
JYOTHYLAB,2021-09-20,166.15,2021-10-04,167.8,1.65,0.99,14,25.81
WSTCSTPAPR,2021-09-20,231.5,2021-10-22,262.7,31.2,13.48,32,153.76
IGL,2021-09-20,543.45,2022-09-09,418.8,-124.65,-22.94,354,-23.65
BERGEPAINT,2021-09-22,676.67,2021-10-05,687.88,11.21,1.66,13,46.61
BAYERCROP,2021-09-24,5354.7,2022-06-16,5103.2,-251.5,-4.7,265,-6.47
SANOFI,2021-10-06,7908,2021-11-26,8239.55,331.55,4.19,51,29.99
LALPATHLAB,2021-10-27,3512.75,2022-09-27,2649.15,-863.6,-24.58,335,-26.78
CAMS,2021-10-29,3012.1,2022-10-10,2535.35,-476.75,-15.83,346,-16.7
CUMMINSIND,2021-11-02,911.95,2021-12-16,938.75,26.8,2.94,44,24.39
ASIANPAINT,2021-11-02,3103.35,2021-11-09,3145.15,41.8,1.35,7,70.39
GILLETTE,2021-11-03,5705.7,2022-08-01,5204.75,-500.95,-8.78,271,-11.83
EMAMILTD,2021-11-08,557.85,2022-08-19,486.35,-71.5,-12.82,284,-16.48
JYOTHYLAB,2021-11-09,161.3,2022-04-29,154.3,-7,-4.34,171,-9.26
AJANTPHARM,2021-11-16,1438.03,2022-01-21,1475.97,37.94,2.64,66,14.6
HINDUNILVR,2021-11-17,2391.15,2022-08-02,2635.25,244.1,10.21,258,14.44
EICHERMOT,2021-11-17,2674.2,2022-02-02,2669.75,-4.45,-0.17,77,-0.81
BERGEPAINT,2021-11-18,656.79,2023-06-01,542.08,-114.71,-17.47,560,-11.39
TCS,2021-11-18,3475.7,2022-01-21,3833.5,357.8,10.29,64,58.69
HEROMOTOCO,2021-11-23,2632.2,2022-02-15,2778.65,146.45,5.56,84,24.16
PIDILITIND,2021-11-24,2263.1,2021-12-10,2325.75,62.65,2.77,16,63.19
COLPAL,2021-11-24,1471.3,2022-05-06,1581.1,109.8,7.46,163,16.7
JBCHEPHARM,2021-11-25,810.78,2022-02-01,891.8,81.02,9.99,68,53.62
WSTCSTPAPR,2021-12-02,250.7,2022-02-17,252.25,1.55,0.62,77,2.94
BASF,2021-12-06,2842.85,2022-01-27,3109.45,266.6,9.38,52,65.84
ABSLAMC,2021-12-10,589.45,2023-01-02,456.65,-132.8,-22.53,388,-21.19
GPIL,2021-12-14,266.3,2022-02-28,319.4,53.1,19.94,76,95.76
COALINDIA,2021-12-14,148.9,2022-02-07,160.95,12.05,8.09,55,53.69
SUPREMEIND,2021-12-20,2174.85,2022-01-05,2234.6,59.75,2.75,16,62.73
CUMMINSIND,2021-12-20,894.35,2021-12-31,941.8,47.45,5.31,11,176.2
PETRONET,2021-12-24,216.05,2022-06-02,225.7,9.65,4.47,160,10.2
CASTROLIND,2021-12-24,121.65,2022-08-16,115.15,-6.5,-5.34,235,-8.29
3MINDIA,2021-12-27,24963.4,2022-07-26,22907.9,-2055.5,-8.23,211,-14.24
ITC,2021-12-27,217.55,2022-01-10,223.3,5.75,2.64,14,68.83
DBCORP,2021-12-30,92.5,2022-09-05,108.55,16.05,17.35,249,25.43
RATNAMANI,2021-12-31,1296.3,2022-03-08,1458.4,162.1,12.5,67,68.1
MARICO,2022-01-04,502.05,2022-05-26,530.15,28.1,5.6,142,14.39
ABBOTINDIA,2022-01-05,18866.35,2022-07-27,19861,994.65,5.27,203,9.48
SUNTV,2022-01-12,513.3,2022-09-06,512.75,-0.55,-0.11,237,-0.17
ITC,2022-01-20,218.75,2022-02-15,223,4.25,1.94,26,27.23
CRISIL,2022-02-04,2798.3,2022-02-16,2832.1,33.8,1.21,12,36.8
NESTLEIND,2022-02-17,1812.6,2022-07-27,1854.19,41.59,2.29,160,5.22
LTTS,2022-02-21,4365.75,2022-04-08,4993,627.25,14.37,46,114.02
CRISIL,2022-02-21,2785.15,2022-04-21,3254.45,469.3,16.85,59,104.24
WSTCSTPAPR,2022-02-22,236,2022-04-21,367.5,131.5,55.72,58,350.65
ITC,2022-02-22,214.85,2022-03-04,225.5,10.65,4.96,10,181.04
BSOFT,2022-02-23,414.8,2023-06-12,337.7,-77.1,-18.59,474,-14.32
SUPREMEIND,2022-02-24,2040.15,2022-09-15,2057.35,17.2,0.84,203,1.51
HCLTECH,2022-02-24,1098.55,2022-04-07,1173.3,74.75,6.8,42,59.1
LTIM,2022-02-24,5600.95,2022-11-24,4945.55,-655.4,-11.7,273,-15.64
ASIANPAINT,2022-02-24,3069.05,2022-08-23,3356.6,287.55,9.37,180,19
INFY,2022-02-24,1678.15,2022-03-03,1720.85,42.7,2.54,7,132.44
APARINDS,2022-03-02,624.45,2022-04-11,669.6,45.15,7.23,40,65.97
PIDILITIND,2022-03-11,2338.15,2022-04-21,2406.35,68.2,2.92,41,26
MAZDOCK,2022-03-11,248.6,2022-05-04,293.9,45.3,18.22,54,123.15
CAPLIPOINT,2022-03-14,729,2022-08-23,767.85,38.85,5.33,162,12.01
BASF,2022-03-15,2860.75,2022-09-06,3196.25,335.5,11.73,175,24.47
SKFINDIA,2022-03-15,3233.85,2022-04-21,3367.85,134,4.14,37,40.84
AJANTPHARM,2022-03-21,1285.43,2022-08-19,1297.15,11.72,0.91,151,2.2
NMDC,2022-03-23,116.14,2022-04-26,123.37,7.23,6.23,34,66.88
HEROMOTOCO,2022-03-28,2377.95,2022-05-26,2636.45,258.5,10.87,59,67.25
