Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
HCLTECH,2022-05-24,991.75,2023-02-02,1149.6,157.85,15.92,254,22.88
TCS,2022-05-25,3167.65,2023-02-16,3558.05,390.4,12.32,267,16.84
HINDALCO,2022-06-10,385.75,2023-11-15,505.4,119.65,31.02,523,21.65
KOTAKBANK,2022-06-16,1675.8,2022-11-16,1965.9,290.1,17.31,153,41.3
TITAN,2022-06-29,1936.15,2022-09-22,2737.6,801.45,41.39,85,177.73
ONGC,2022-07-06,120.95,2023-04-11,159.05,38.1,31.5,279,41.21
ADANIPORTS,2023-01-27,596.95,2023-12-05,1013.1,416.15,69.71,312,81.55
HDFCLIFE,2023-02-02,492.7,2023-06-19,626.55,133.85,27.17,137,72.39
RELIANCE,2023-02-06,2133.47,2023-07-10,2524.45,390.98,18.33,154,43.44
HEROMOTOCO,2023-02-28,2419.1,2023-06-07,2958,538.9,22.28,99,82.14
CIPLA,2023-02-28,906.4,2023-07-28,1177.8,271.4,29.94,150,72.85
TATACONSUM,2023-03-10,704.4,2023-06-14,862.5,158.1,22.44,96,85.32
SBILIFE,2023-03-15,1067.05,2023-08-08,1349.35,282.3,26.46,146,66.15
