Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
HEROMOTOCO,2021-11-10,2718.8,2022-02-07,2648.05,-70.75,-2.6,89,-10.66
BRITANNIA,2021-11-10,3698.5,2022-01-19,3575.65,-122.85,-3.32,70,-17.31
BPCL,2021-11-10,431.25,2022-01-21,381.7,-49.55,-11.49,72,-58.25
ADANIPORTS,2021-11-11,735.1,2021-12-17,723.95,-11.15,-1.52,36,-15.41
ITC,2021-11-15,238.1,2021-11-24,227.7,-10.4,-4.37,9,-177.23
HCLTECH,2021-11-15,1170.85,2022-01-17,1258.75,87.9,7.51,63,43.51
DIVISLAB,2021-11-29,4921.35,2022-04-01,4379.7,-541.65,-11.01,123,-32.67
RELIANCE,2021-12-02,2291.67,2022-01-24,2194.8,-96.87,-4.23,53,-29.13
COALINDIA,2021-12-02,159.3,2022-01-27,160.55,1.25,0.78,56,5.08
HDFCBANK,2021-12-03,1513.55,2022-01-20,1509,-4.55,-0.3,48,-2.28
HDFCBANK,2021-12-03,1513.55,2022-01-20,1509,-4.55,-0.3,48,-2.28
HINDALCO,2021-12-07,442.5,2022-01-24,478.4,35.9,8.11,48,61.67
AXISBANK,2021-12-07,687,2022-01-21,712.5,25.5,3.71,45,30.09
WIPRO,2021-12-08,641.7,2022-01-10,693.5,51.8,8.07,33,89.26
UPL,2021-12-08,728.1,2021-12-20,708.3,-19.8,-2.72,12,-82.73
INDUSINDBK,2021-12-08,945.3,2022-02-22,939.1,-6.2,-0.66,76,-3.17
BAJFINANCE,2021-12-08,7361.5,2022-01-21,7373.75,12.25,0.17,44,1.41
ITC,2021-12-09,235.4,2022-02-15,223,-12.4,-5.27,68,-28.29
ICICIBANK,2021-12-09,755,2022-01-24,798.45,43.45,5.75,46,45.63
BAJAJFINSV,2021-12-09,1759.66,2022-01-21,1633.52,-126.14,-7.17,43,-60.86
BAJAJ-AUTO,2021-12-09,3341,2022-02-08,3458.65,117.65,3.52,61,21.06
SUNPHARMA,2021-12-10,761.35,2022-01-19,838.5,77.15,10.13,40,92.44
SHREECEM,2021-12-10,26406.45,2022-01-20,26072.35,-334.1,-1.27,41,-11.31
SBIN,2021-12-10,494.7,2022-02-11,529.6,34.9,7.05,63,40.85
LT,2021-12-10,1873.4,2021-12-20,1799.35,-74.05,-3.95,10,-144.18
ONGC,2021-12-13,145.95,2022-02-03,167.5,21.55,14.77,52,103.67
MARUTI,2021-12-13,7516.4,2022-02-07,8511.65,995.25,13.24,56,86.3
GRASIM,2021-12-14,1715.18,2022-01-24,1684,-31.18,-1.82,41,-16.2
NTPC,2021-12-15,126.7,2022-02-04,134.2,7.5,5.92,51,42.37
ULTRACEMCO,2021-12-16,7413.75,2022-01-19,7434.4,20.65,0.28,34,3.01
UPL,2021-12-21,733.65,2022-01-21,786.9,53.25,7.26,31,85.48
CIPLA,2021-12-23,909.75,2022-01-10,916.2,6.45,0.71,18,14.4
TITAN,2021-12-27,2331.3,2022-01-20,2564.3,233,9.99,24,151.93
TATACONSUM,2021-12-28,726.95,2022-04-20,810.45,83.5,11.49,113,37.11
SBILIFE,2021-12-28,1177.6,2022-01-24,1225,47.4,4.03,27,54.48
M&M,2021-12-28,838.7,2022-01-25,854.5,15.8,1.88,28,24.51
TATAMOTORS,2021-12-31,482.4,2022-01-24,478.45,-3.95,-0.82,24,-12.47
KOTAKBANK,2021-12-31,1796.1,2022-01-24,1830.9,34.8,1.94,24,29.5
BHARTIARTL,2021-12-31,683.8,2022-01-24,689.9,6.1,0.89,24,13.54
ADANIPORTS,2022-01-03,736.6,2022-01-20,738,1.4,0.19,17,4.08
APOLLOHOSP,2022-01-05,4973.25,2022-03-22,4677.6,-295.65,-5.94,76,-28.53
CIPLA,2022-01-28,932.25,2022-02-16,933.1,0.85,0.09,19,1.73
ULTRACEMCO,2022-02-04,7439.65,2022-04-25,6595.05,-844.6,-11.35,80,-51.78
TATASTEEL,2022-02-04,117.63,2022-02-21,118.18,0.55,0.47,17,10.09
HDFCBANK,2022-02-04,1524,2022-02-24,1419.4,-104.6,-6.86,20,-125.19
HDFCBANK,2022-02-04,1524,2022-02-24,1419.4,-104.6,-6.86,20,-125.19
JSWSTEEL,2022-02-07,651.15,2022-04-19,746.4,95.25,14.63,71,75.21
HCLTECH,2022-02-08,1161.95,2022-03-29,1167.7,5.75,0.49,49,3.65
SHREECEM,2022-02-09,25466.15,2022-05-04,25193.5,-272.65,-1.07,84,-4.65
WIPRO,2022-02-10,573.65,2022-04-05,599.15,25.5,4.45,54,30.08
TITAN,2022-02-10,2491.85,2022-02-24,2406.6,-85.25,-3.42,14,-89.16
DRREDDY,2022-02-10,4370.7,2022-04-19,4209.7,-161,-3.68,68,-19.75
BAJAJFINSV,2022-02-10,1639.36,2022-04-11,1657.79,18.43,1.12,60,6.81
ASIANPAINT,2022-02-10,3238.75,2022-04-18,3021.55,-217.2,-6.71,67,-36.55
ADANIPORTS,2022-02-10,731.05,2022-04-20,827.65,96.6,13.21,69,69.88
RELIANCE,2022-02-15,2231.77,2022-04-08,2414.24,182.47,8.18,52,57.42
TECHM,2022-02-16,1444,2022-04-01,1487.1,43.1,2.98,44,24.72
HINDUNILVR,2022-02-16,2286.5,2022-05-06,2149.2,-137.3,-6,79,-27.72
EICHERMOT,2022-02-16,2706.45,2022-02-25,2628.4,-78.05,-2.88,9,-116.8
NESTLEIND,2022-02-17,1812.6,2022-05-04,1808.78,-3.82,-0.21,76,-1.01
M&M,2022-02-17,862.25,2022-05-05,899.05,36.8,4.27,77,20.24
INFY,2022-02-17,1724.8,2022-04-05,1861.1,136.3,7.9,47,61.35
BAJFINANCE,2022-02-17,7082.45,2022-04-19,7259.55,177.1,2.5,61,14.96
BRITANNIA,2022-02-22,3489.75,2022-05-02,3271.3,-218.45,-6.26,69,-33.11
KOTAKBANK,2022-02-23,1886.1,2022-06-03,1858.65,-27.45,-1.46,100,-5.33
POWERGRID,2022-03-02,158.18,2022-03-21,153.68,-4.5,-2.84,19,-54.56
UPL,2022-03-04,713.75,2022-04-25,803.05,89.3,12.51,52,87.81
ITC,2022-03-04,225.5,2022-04-19,261.55,36.05,15.99,46,126.88
TCS,2022-03-09,3632.6,2022-04-11,3696.4,63.8,1.76,33,19.47
NTPC,2022-03-09,131.5,2022-04-27,155.65,24.15,18.37,49,136.84
SUNPHARMA,2022-03-10,869.55,2022-04-11,925.4,55.85,6.42,32,73.23
BPCL,2022-03-10,349,2022-04-25,369.7,20.7,5.93,46,47.05
BHARTIARTL,2022-03-10,697.75,2022-04-13,740.65,42.9,6.15,34,66.02
SBILIFE,2022-03-14,1069.7,2022-04-25,1091.25,21.55,2.01,42,17.47
HDFCBANK,2022-03-14,1442.55,2022-04-13,1464.95,22.4,1.55,30,18.86
HDFCBANK,2022-03-14,1442.55,2022-04-13,1464.95,22.4,1.55,30,18.86
GRASIM,2022-03-14,1571.25,2022-04-25,1686.99,115.74,7.37,42,64.05
SBIN,2022-03-15,485.85,2022-04-22,500.6,14.75,3.04,38,29.2
LT,2022-03-15,1743.45,2022-08-04,1780.1,36.65,2.1,142,5.4
BAJAJ-AUTO,2022-03-15,3454.05,2022-04-13,3697.3,243.25,7.04,29,88.61
INDUSINDBK,2022-03-16,928.65,2022-04-22,959.85,31.2,3.36,37,33.15
ICICIBANK,2022-03-16,708,2022-04-26,753.75,45.75,6.46,41,57.51
TATAMOTORS,2022-03-17,433.8,2022-06-13,406.7,-27.1,-6.25,88,-25.92
MARUTI,2022-03-17,7693,2022-05-04,7397.9,-295.1,-3.84,48,-29.2
HEROMOTOCO,2022-03-17,2419.9,2022-06-06,2540.75,120.85,4.99,81,22.49
EICHERMOT,2022-03-17,2436.95,2022-05-04,2483.2,46.25,1.9,48,14.45
AXISBANK,2022-03-17,739.25,2022-04-25,780.7,41.45,5.61,39,52.5
APOLLOHOSP,2022-04-12,4626.3,2022-04-27,4522.95,-103.35,-2.23,15,-54.26
TITAN,2022-04-26,2548.2,2022-08-19,2440.6,-107.6,-4.22,115,-13.39
TECHM,2022-05-09,1261.15,2022-08-25,1070.6,-190.55,-15.11,108,-51.07
INFY,2022-05-09,1570.35,2022-08-22,1575.65,5.3,0.34,105,1.18
HCLTECH,2022-05-12,1059.4,2022-08-25,943.8,-115.6,-10.91,105,-37.93
BRITANNIA,2022-05-17,3368.85,2022-06-07,3383.45,14.6,0.43,21,7.47
BAJAJ-AUTO,2022-05-17,3742.9,2022-06-02,3688.7,-54.2,-1.45,16,-33.08
WIPRO,2022-05-18,481.25,2022-08-22,420,-61.25,-12.73,96,-48.4
CIPLA,2022-05-18,957.1,2022-06-13,954.75,-2.35,-0.25,26,-3.51
ONGC,2022-05-19,160,2022-08-23,133.75,-26.25,-16.41,96,-62.39
MARUTI,2022-05-19,7404.55,2022-06-14,7811.65,407.1,5.5,26,77.21
HINDALCO,2022-05-19,417,2022-08-22,418.5,1.5,0.36,95,1.38
SUNPHARMA,2022-05-20,915.65,2022-08-16,914.6,-1.05,-0.11,88,-0.46
HDFCBANK,2022-05-20,1320.95,2022-06-13,1326.6,5.65,0.43,24,6.54
HDFCBANK,2022-05-20,1320.95,2022-06-13,1326.6,5.65,0.43,24,6.54
DRREDDY,2022-05-20,4249.1,2022-06-08,4199.15,-49.95,-1.18,19,-22.67
COALINDIA,2022-05-20,185.95,2022-06-15,190.05,4.1,2.2,26,30.88
SBILIFE,2022-05-23,1076.5,2022-06-15,1125.75,49.25,4.58,23,72.68
RELIANCE,2022-05-23,2406.17,2022-06-14,2425.74,19.57,0.81,22,13.44
AXISBANK,2022-05-23,675.35,2022-08-22,741.85,66.5,9.85,91,39.51
ASIANPAINT,2022-05-23,3174.2,2022-08-19,3482.55,308.35,9.71,88,40.27
NESTLEIND,2022-05-24,1718.71,2022-07-27,1854.19,135.48,7.88,64,44.94
ICICIBANK,2022-05-24,708.15,2022-06-10,720,11.85,1.67,17,35.86
BAJFINANCE,2022-05-24,5798.8,2022-08-19,7301.7,1502.9,25.92,87,108.74
APOLLOHOSP,2022-05-24,3631.65,2022-08-16,4349.4,717.75,19.76,84,85.86
HDFCLIFE,2022-05-25,569.1,2022-06-13,582,12.9,2.27,19,43.61
SBIN,2022-05-26,468.9,2022-08-08,520.4,51.5,10.98,74,54.16
BAJAJFINSV,2022-05-26,1247.78,2022-08-24,1633.39,385.61,30.9,90,125.32
INDUSINDBK,2022-05-27,925.4,2022-08-19,1063.3,137.9,14.9,84,64.74
BHARTIARTL,2022-05-30,699.05,2022-08-30,726.6,27.55,3.94,92,15.63
ULTRACEMCO,2022-05-31,6082.6,2022-08-11,6597.1,514.5,8.46,72,42.89
TCS,2022-05-31,3364.35,2022-08-23,3284.6,-79.75,-2.37,84,-10.3
TATACONSUM,2022-05-31,759.75,2022-08-04,789.25,29.5,3.88,65,21.79
SHREECEM,2022-05-31,22116.3,2022-08-22,20931.45,-1184.85,-5.36,83,-23.57
GRASIM,2022-06-01,1430.86,2022-08-17,1610.15,179.29,12.53,77,59.4
ADANIPORTS,2022-06-01,736.9,2022-08-12,788.35,51.45,6.98,72,35.38
TATASTEEL,2022-06-02,108.15,2022-08-22,105.05,-3.1,-2.87,81,-12.93
JSWSTEEL,2022-06-02,573.4,2022-08-22,642.95,69.55,12.13,81,54.66
BPCL,2022-06-02,329.35,2022-08-23,333.7,4.35,1.32,82,5.88
DIVISLAB,2022-06-10,3528.05,2022-08-12,3726.2,198.15,5.62,63,32.56
HINDUNILVR,2022-06-24,2303.9,2022-07-28,2620.1,316.2,13.72,34,147.29
HDFCBANK,2022-06-24,1353.8,2022-07-18,1347.55,-6.25,-0.46,24,-7
HDFCBANK,2022-06-24,1353.8,2022-07-18,1347.55,-6.25,-0.46,24,-7
ICICIBANK,2022-06-27,717.35,2022-08-22,852.25,134.9,18.81,56,122.6
TATAMOTORS,2022-06-28,417.1,2022-07-28,442.25,25.15,6.03,30,73.37
CIPLA,2022-06-29,947.65,2022-08-22,1022.55,74.9,7.9,54,53.4
UPL,2022-07-04,654.5,2022-08-22,744.7,90.2,13.78,49,102.65
SBILIFE,2022-07-04,1117.65,2022-07-26,1138.2,20.55,1.84,22,30.53
NTPC,2022-07-04,141.4,2022-08-22,156.5,15.1,10.68,49,79.56
POWERGRID,2022-07-05,160.61,2022-08-29,170.29,9.68,6.03,55,40.02
HDFCLIFE,2022-07-05,564.85,2022-09-15,566.75,1.9,0.34,72,1.72
KOTAKBANK,2022-07-06,1704.5,2022-08-12,1841.2,136.7,8.02,37,79.12
COALINDIA,2022-07-07,186,2022-08-22,218.3,32.3,17.37,46,137.83
RELIANCE,2022-07-18,2235.74,2022-08-26,2416.41,180.67,8.08,39,75.62
DRREDDY,2022-08-12,4260.8,2022-10-13,4254.65,-6.15,-0.14,62,-0.82
BRITANNIA,2022-08-30,3747.75,2022-10-10,3797.85,50.1,1.34,41,11.93
DIVISLAB,2022-09-09,3603,2022-10-11,3502.2,-100.8,-2.8,32,-31.94
WIPRO,2022-09-12,422,2022-12-09,394.05,-27.95,-6.62,88,-27.46
HCLTECH,2022-09-12,955.55,2022-11-10,1052.45,96.9,10.14,59,62.73
TCS,2022-09-13,3229.35,2022-12-06,3385.35,156,4.83,84,20.99
INFY,2022-09-13,1544.95,2022-11-09,1511.2,-33.75,-2.18,57,-13.96
SUNPHARMA,2022-09-20,911.95,2022-11-10,1010.65,98.7,10.82,51,77.44
NESTLEIND,2022-09-29,1897.92,2022-11-10,2017.53,119.61,6.3,42,54.75
ONGC,2022-10-04,133.9,2022-11-22,135.2,1.3,0.97,49,7.23
TATASTEEL,2022-10-07,103.3,2022-11-22,105.2,1.9,1.84,46,14.6
TATAMOTORS,2022-10-07,412.15,2022-11-23,424.05,11.9,2.89,47,22.44
HINDALCO,2022-10-07,411.1,2022-11-23,433.35,22.25,5.41,47,42.01
COALINDIA,2022-10-07,229.7,2022-11-15,232.15,2.45,1.07,39,10.01
BAJAJ-AUTO,2022-10-07,3603.55,2022-11-18,3632.95,29.4,0.82,42,7.13
UPL,2022-10-10,683,2022-11-29,774.85,91.85,13.45,50,98.18
RELIANCE,2022-10-10,2220.55,2022-11-21,2354.48,133.93,6.03,42,52.4
LT,2022-10-10,1909.65,2022-11-15,1996.55,86.9,4.55,36,46.13
JSWSTEEL,2022-10-10,666,2022-11-22,708.25,42.25,6.34,43,53.82
POWERGRID,2022-10-12,161.66,2022-11-10,161.18,-0.48,-0.3,29,-3.78
ULTRACEMCO,2022-10-17,6271.5,2022-11-21,6754.85,483.35,7.71,35,80.4
TECHM,2022-10-17,1023.25,2022-11-09,1028.7,5.45,0.53,23,8.41
KOTAKBANK,2022-10-17,1858.15,2022-11-25,1928.4,70.25,3.78,39,35.38
HDFCLIFE,2022-10-17,523.75,2022-12-12,576.5,52.75,10.07,56,65.63
HDFCBANK,2022-10-17,1446.55,2022-11-28,1600.25,153.7,10.63,42,92.38
HDFCBANK,2022-10-17,1446.55,2022-11-28,1600.25,153.7,10.63,42,92.38
SBIN,2022-10-18,562.45,2022-11-17,599.05,36.6,6.51,30,79.21
