symbol,industry,sector,cmp,marketCap,sum,priceToEarnings,priceToEarningsDecile,priceToBook,priceToBookDecile,priceToSales,priceToSalesDecile,priceToCashflow,priceToCashflowDecile,enterpriseToEbitda,enterpriseToEbitdaDecile,dividendYield,dividendYieldDecile,return1M,return6M,return12M
PDMJEPAPER,Paper & Paper Products,Basic Materials,109.03,1036,12,10.55,1,2.1,3,1.32,2,7.8,1,7.03,1,0.46,4,18.96,117.41,162.09
KSL,Steel,Basic Materials,905.05,3951,15,15.88,2,2.35,3,2.02,4,13.1,2,10.79,2,1.1,2,3.74,110.26,158.99
OIL,Oil & Gas E&P,Energy,699.8,75887,11,11.98,1,1.57,2,2.34,4,6.94,1,8.82,2,2.77,1,6.6,87.49,182.8
KIRLOSIND,Metal Fabrication,Industrials,6151.65,6108,13,31.88,4,1.26,1,0.96,2,10.58,2,9.67,2,0.94,2,-3.69,84.03,87.37
NDL,Textile Manufacturing,Consumer Cyclical,48.19,695,13,15.45,2,1.19,1,0.35,1,3.01,1,6.6,1,0,7,25.17,74.6,130.57
ASHOKA,Engineering & Construction,Industrials,236.85,6649,15,13.22,1,2.99,4,0.68,1,8.88,1,4.6,1,0,7,30.07,72.32,196.25
ZUARIIND,Conglomerates,Industrials,346.3,1032,11,1.44,1,0.26,1,1.23,2,14.43,2,3.06,1,0.37,4,8.08,70.05,138.75
NATIONALUM,Aluminum,Basic Materials,193.98,35627,15,17.91,2,2.44,3,2.71,5,13.1,2,10.26,2,2.06,1,-1.78,68.53,131.34
SMCGLOBAL,Capital Markets,Financial Services,171.97,1801,16,9.61,1,1.64,2,1.14,2,9999999999,8,7.3,1,1.39,2,7.15,65.36,130.37
MRPL,Oil & Gas Refining & Marketing,Energy,212.66,37271,12,10.36,1,2.81,4,0.41,1,5.29,1,6.33,1,0.47,4,1.46,63.65,177.44
NAVA,Conglomerates,Industrials,739.2,10726,13,11.37,1,1.55,2,2.81,5,3.38,1,6.55,1,0.81,3,44.81,62.07,124.27
IMFA,Steel,Basic Materials,795.05,4290,10,10.87,1,2.02,3,1.54,3,8.38,1,6.84,1,1.58,1,8.49,62.01,160.84
KCP,Building Materials,Basic Materials,245.38,3164,16,16.78,2,2.24,3,1.11,2,30.05,5,10.84,2,1.58,2,34.49,59.49,128.26
ELECTCAST,Steel,Basic Materials,178.24,11019,15,14.49,2,2.16,3,1.47,3,13.68,2,10.21,2,0.77,3,5.47,57.87,218
MANINDS,Steel,Basic Materials,393.25,2546,14,24.21,3,1.81,2,0.81,1,9.89,2,9.16,2,0.47,4,6.23,56.61,179.1
GIPCL,Utilities - Regulated Electric,Utilities,256.76,3884,14,19.57,3,1.17,1,2.88,5,6.92,1,8.5,2,1.46,2,36.21,53.29,158.7
PETRONET,Oil & Gas Refining & Marketing,Energy,320.25,48038,12,13.15,1,2.76,4,0.91,2,9.86,2,8.3,2,3.12,1,3.39,49.51,43.71
GOACARBON,Specialty Chemicals,Basic Materials,826.8,757,9,8.85,1,3.06,4,0.72,1,3.86,1,6.55,1,3.33,1,-5.35,48.27,51.79
CENTENKA,Textile Manufacturing,Consumer Cyclical,629.05,1375,13,32.16,4,1.01,1,0.79,1,15.61,3,12.6,3,1.59,1,7.76,45.88,48.24
JPPOWER,Utilities - Independent Power Producers,Utilities,19.19,13152,15,12.87,1,1.15,1,1.94,4,6.82,1,8.03,1,0,7,-0.83,44.83,214.59
CHAMBLFERT,Agricultural Inputs,Basic Materials,517.1,20718,13,16.77,2,2.85,4,1.15,2,6.23,1,9.47,2,1.51,2,30.07,43.72,89.1
MAHABANK,Banks - Regional,Financial Services,65.17,46150,13,11.24,1,2.32,3,3.6,6,3.98,1,1.54,1,1.9,1,-3.52,42.92,135.27
GULFOILLUB,Specialty Chemicals,Basic Materials,1012.6,4979,16,16.17,2,3.85,5,1.51,3,14.58,3,9.49,2,4.05,1,-3.17,42.38,122.21
GAIL,Utilities - Regulated Gas,Utilities,214.76,141207,11,14.26,2,1.83,2,1.06,2,11.22,2,9.53,2,2.56,1,6.98,41.76,105.61
CHENNPETRO,Oil & Gas Refining & Marketing,Energy,968.85,14428,7,5.26,1,1.64,2,0.22,1,5.35,1,3.81,1,2.79,1,8.56,40.38,152.01
