symbol,industry,sector,cmp,marketCap,sum,priceToEarnings,priceToEarningsDecile,priceToBook,priceToBookDecile,priceToSales,priceToSalesDecile,priceToCashflow,priceToCashflowDecile,enterpriseToEbitda,enterpriseToEbitdaDecile,dividendYield,dividendYieldDecile,return1M,return6M,return12M
ZUARIIND,Conglomerates,Industrials,341.95,1019,13,1.43,1,0.26,1,1.22,2,14.25,3,3.05,1,0.37,5,1.62,134.37,169.36
MRPL,Oil & Gas Refining & Marketing,Energy,250.15,43842,13,12.19,1,3.3,5,0.48,1,6.22,1,7.16,1,0.4,4,9.36,127.62,312.79
OIL,Oil & Gas E&P,Energy,620.15,67250,11,10.62,1,1.39,2,2.07,4,6.15,1,8.06,2,3.13,1,4.93,104.4,140.37
NATIONALUM,Aluminum,Basic Materials,185.25,34024,15,17.11,2,2.33,3,2.59,5,12.51,2,9.8,2,2.16,1,14.71,99.09,122.92
SAIL,Steel,Basic Materials,164.2,67824,13,22.13,3,1.19,1,0.64,1,23.3,4,8.81,2,0.91,2,16.66,93.4,94.09
KSL,Steel,Basic Materials,883.2,3856,15,15.5,2,2.3,3,1.97,4,12.79,2,10.56,2,1.13,2,-3.5,92.52,156
HINDPETRO,Oil & Gas Refining & Marketing,Energy,330.27,46851,6,2.93,1,1,1,0.11,1,1.96,1,3.95,1,4.55,1,5.68,92.35,95.92
SMCGLOBAL,Capital Markets,Financial Services,160.15,1677,16,8.95,1,1.53,2,1.06,2,9999999999,8,7.01,1,1.49,2,25.31,82.2,111.84
PDMJEPAPER,Paper & Paper Products,Basic Materials,83.5,793,10,8.08,1,1.61,2,1.01,2,5.97,1,5.4,1,0.6,3,31.29,80.74,100.96
GOACARBON,Specialty Chemicals,Basic Materials,904,828,10,9.68,1,3.34,5,0.78,1,4.22,1,7.04,1,3.04,1,16.41,76.8,83.4
IOC,Oil & Gas Refining & Marketing,Energy,168.85,238438,7,5.57,1,1.3,2,0.31,1,3.35,1,4.65,1,4.6,1,-0.24,76.07,105.54
CHENNPETRO,Oil & Gas Refining & Marketing,Energy,1022.85,15232,7,5.55,1,1.73,2,0.23,1,5.65,1,3.99,1,2.64,1,8.32,72.63,247.73
NLCINDIA,Utilities - Regulated Electric,Utilities,242.35,33606,15,17.99,2,2.03,3,2.59,5,5.98,1,10.01,2,1.48,2,4.71,72.49,193.76
MANINDS,Steel,Basic Materials,402.2,2604,15,24.76,4,1.85,2,0.83,1,10.11,2,9.36,2,0.46,4,5.61,71.19,327.42
NDL,Textile Manufacturing,Consumer Cyclical,39.1,564,12,12.53,1,0.96,1,0.28,1,2.45,1,5.74,1,0,7,15.34,70.37,80.18
CESC,Utilities - Regulated Electric,Utilities,147.35,19533,11,14.2,2,1.71,2,1.28,3,8.3,1,8.07,2,3.1,1,17.41,70.25,115.11
GAIL,Utilities - Regulated Gas,Utilities,209.1,137485,11,13.89,2,1.79,2,1.03,2,10.92,2,9.31,2,2.63,1,14.67,68.97,93.07
KIRLOSIND,Metal Fabrication,Industrials,5170.8,5134,12,26.79,4,1.06,1,0.81,1,8.9,2,8.37,2,1.12,2,24.25,68.09,104.23
BPCL,Oil & Gas Refining & Marketing,Energy,303.67,65874,6,2.41,1,0.87,1,0.15,1,1.83,1,2.51,1,8.09,1,1.11,68.01,68.19
IMFA,Steel,Basic Materials,732.4,3952,10,10.02,1,1.86,3,1.42,3,7.72,1,6.32,1,1.72,1,13.26,66.95,148.86
MAHABANK,Banks - Regional,Financial Services,70.1,49641,13,12.09,1,2.5,3,3.87,6,4.29,1,1.77,1,1.76,1,7.6,64.17,133.67
RPPINFRA,Engineering & Construction,Industrials,125.8,481,13,8.35,1,1.13,1,0.35,1,10.85,2,4.5,1,0,7,13.59,64.02,196
NCC,Engineering & Construction,Industrials,242.2,15207,13,21.4,3,2.29,3,0.73,1,11.19,2,8.51,2,0.91,2,-0.35,62.66,97.55
CANBK,Banks - Regional,Financial Services,124.39,22566,14,1.48,1,0.24,1,0.34,1,1.5,1,9999999999,9,9.65,1,5.59,60.5,94.36
JKIL,Engineering & Construction,Industrials,676.15,5117,15,15.47,2,1.93,3,1.05,2,15.1,3,7.63,1,0.52,4,1.92,59.41,144.94
