date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2024-06-05,RELIANCE,Oil & Gas Refining & Marketing,Energy,2841.5,1922586,27.61,2.42,2.13,12.11,12.83,0.32,8.77,24.17,15.71,-3.93,0.09
2024-06-05,TCS,Information Technology Services,Technology,3746.45,1355499,29.76,14.98,5.63,30.57,20.19,1.85,50.73,15.91,3.3,-8.81,-4.45
2024-06-05,HDFCBANK,Banks - Regional,Financial Services,1551.8,,,,,,,,,-2.98,-6.13,7.31,1.91
2024-06-05,ICICIBANK,Banks - Regional,Financial Services,1108.65,,,,,,,,,17.68,9.68,1.9,-3.28
2024-06-05,BHARTIARTL,Telecom Services,Communication Services,1344.35,812560,105.03,9.91,5.42,10.3,13.84,0.51,9.1,62.08,34.4,12.06,4.75
2024-06-05,SBIN,Banks - Regional,Financial Services,789.75,704822,10.51,1.7,2.1,32.58,2.88,1.43,16.17,34.92,28.59,0.22,-2.23
2024-06-05,INFY,Information Technology Services,Technology,1430.1,,,,,,,,,11.81,-4.09,-11.53,0.29
2024-06-05,LICI,Insurance - Life,Financial Services,941.4,595436,16.54,7.2,0.75,23.48,15.34,0,43.5,57.49,21.87,-8.14,0.79
2024-06-05,ITC,Tobacco,Consumer Defensive,430.3,537218,26.27,7.21,7.64,31.27,18.7,3.7,27.46,-2.82,-4.2,4.05,-1.02
2024-06-05,HINDUNILVR,Household & Personal Products,Consumer Defensive,2602.75,611540,59.51,11.94,10.03,39.53,39.57,1.54,20.07,-3.28,3.19,7.57,15.36
2024-06-05,LT,Engineering & Construction,Industrials,3409,468625,36.31,5.43,2.12,25.66,22.71,0.9,15.12,49.65,0.9,-7.29,-1.57
2024-06-05,BAJFINANCE,Credit Services,Financial Services,6836.65,422511,28.97,5.51,12.31,-5.81,16.66,0.43,18.84,-3.9,-6.44,6.47,-0.34
