date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2024-06-21,RELIANCE,Oil & Gas Refining & Marketing,Energy,2908.4,1967851,28.26,2.48,2.18,12.39,13.1,0.31,8.77,24.28,13.39,-0.06,-0.44
2024-06-21,TCS,Information Technology Services,Technology,3810.75,1378763,30.27,15.24,5.72,31.1,20.54,1.82,50.73,17.67,-0.35,-2.56,-0.55
2024-06-21,HDFCBANK,Banks - Regional,Financial Services,1665.75,,,,,,,,,1.35,-0.31,15.45,14.16
2024-06-21,ICICIBANK,Banks - Regional,Financial Services,1158.65,,,,,,,,,25.16,16.53,6.27,4.28
2024-06-21,BHARTIARTL,Telecom Services,Communication Services,1416.05,855897,110.63,10.44,5.71,10.85,14.43,0.49,9.1,68.02,43.1,14.56,5.06
2024-06-21,SBIN,Banks - Regional,Financial Services,836.3,746366,11.13,1.8,2.23,34.5,2.99,1.35,16.17,48.56,31.34,12,2.14
2024-06-21,INFY,Information Technology Services,Technology,1532.7,,,,,,,,,19.6,-1.93,1.58,5.35
2024-06-21,LICI,Insurance - Life,Financial Services,1023.95,647649,17.99,7.83,0.81,25.54,16.79,0,43.5,59.56,29.16,12.98,-2.98
2024-06-21,ITC,Tobacco,Consumer Defensive,419.6,523859,25.62,7.03,7.45,30.49,18.24,3.8,27.46,-6.27,-7.82,-2.1,-4.61
2024-06-21,HINDUNILVR,Household & Personal Products,Consumer Defensive,2441.3,573606,55.81,11.2,9.41,37.08,37.12,1.64,20.07,-8.03,-5.21,8.19,3.14
2024-06-21,LT,Engineering & Construction,Industrials,3535,485946,37.65,5.63,2.2,26.6,23.39,0.87,15.12,46.3,1.64,-2.29,2.14
2024-06-21,BAJFINANCE,Credit Services,Financial Services,7134.25,440903,30.23,5.75,12.84,-6.06,17.14,0.41,18.84,1.48,-2.21,5.52,5.78
2024-06-21,HCLTECH,Information Technology Services,Technology,1447.85,392077,25.02,5.74,3.57,17.47,15.12,3.59,23,24.45,-1.02,-7.06,7.8
2024-06-21,MARUTI,Auto Manufacturers,Consumer Cyclical,12201.5,383619,28.44,4.48,2.84,22.83,16.66,0.71,15.75,29.76,19.42,-1.1,-2.63
2024-06-21,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1467.25,352043,36.76,5.53,7.37,29.01,25.05,0.82,15.04,48.16,17.98,-8.8,-4.68
2024-06-21,ADANIENT,Thermal Coal,Energy,3189.3,363581,117.08,9.3,3.77,35.26,34.21,0.04,8.29,33.04,13.56,2.63,1.54
2024-06-21,KOTAKBANK,Banks - Regional,Financial Services,1775.65,352986,19.42,2.72,4.92,22.5,7.65,0.1,14.01,-3.29,-4.56,-0.04,4.48
2024-06-21,TITAN,Luxury Goods,Consumer Cyclical,3399.75,301579,86.33,32.11,6.45,177.92,54.36,0.29,37.22,14.46,-6.27,-8.28,0.47
