date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2020-06-01,RELIANCE,Oil & Gas Refining & Marketing,Energy,1403.28,898010,22.25,2,1.5,9.46,12.79,0.51,8.76,15.38,-1.16,14.29,4.69
2020-06-01,TCS,Information Technology Services,Technology,2045.25,767457,23.73,9.12,4.89,23.71,16.46,4.9,38.44,-6.89,-1.6,0.44,1.53
2020-06-01,HINDUNILVR,Household & Personal Products,Consumer Defensive,2108.55,456469,67.65,55.47,11.56,59.88,44.19,1.14,82,17.89,2.96,-2.68,-3.94
2020-06-01,HDFCBANK,Banks - Regional,Financial Services,987.65,541557,20.89,2.86,6.84,31.64,6.18,1.23,13.75,-18.56,-21.09,-16.43,-1.41
2020-06-01,HDFC,,,,,,,,,,,,,,,
2020-06-01,INFY,Information Technology Services,Technology,699.55,296662,1271.91,343.12,232.13,1136.2,952.69,0.05,26.96,-5.18,-1.31,-6.35,-2.23
2020-06-01,KOTAKBANK,Banks - Regional,Financial Services,1248.4,238824,27.94,3.56,7.16,5.12,8.68,0.1,12.8,-17.98,-24.4,-23.24,-8.02
2020-06-01,BHARTIARTL,Telecom Services,Communication Services,548.75,304871,-8.82,3.95,3.6,16.82,-71.82,0.6,-41.72,60.28,21.16,7.35,8.7
2020-06-01,ITC,Tobacco,Consumer Defensive,200.55,246521,16.11,3.78,5.03,16.78,11.48,2.96,23.45,-28,-17.52,3.46,10.16
2020-06-01,ICICIBANK,Banks - Regional,Financial Services,339.25,219589,23.32,1.79,2.09,2.76,4.13,0.4,7.78,-19.93,-35.9,-34.09,-10.76
2020-06-01,SBIN,Banks - Regional,Financial Services,170.05,151764,7.68,0.6,0.78,6.34,0.3,0,7.87,-51.76,-50.26,-41.33,-10.73
2020-06-01,ASIANPAINT,Specialty Chemicals,Basic Materials,1693.25,162417,60.04,16.03,8.1,53.46,36.67,1.31,26.7,20.32,-1.57,-5.96,-3.72
2020-06-01,DMART,Discount Stores,Consumer Defensive,2305.5,149345,112.19,13.48,6,116.66,68.38,0,11.74,74.25,25.23,3.24,-3.28
2020-06-01,BAJFINANCE,Credit Services,Financial Services,2160.85,130016,24.26,4.02,8.2,-5.33,13.89,0.73,16.28,-37.68,-45.85,-51.49,-6.78
2020-06-01,MARUTI,Auto Manufacturers,Consumer Cyclical,5793.6,175014,30.83,3.54,2.4,50.06,16.27,1.38,11.49,-15.67,-18.12,-9.28,8.11
2020-06-01,HCLTECH,Information Technology Services,Technology,559.75,151898,13.74,2.96,2.15,11.37,8.69,0.89,21.57,2.47,-0.53,-0.94,2.98
2020-06-01,LT,Engineering & Construction,Industrials,928.15,130303,13.66,1.95,0.9,19.47,14.45,3.02,14.31,-40.41,-27.78,-21.43,3.41
2020-06-01,WIPRO,Information Technology Services,Technology,215.05,122866,12.94,2.2,2.01,12.21,7.98,0.46,17.44,-24.91,-11.21,-3.87,12.62
2020-06-01,AXISBANK,Banks - Regional,Financial Services,396.95,112007,58.38,1.3,2.77,3.68,2.53,0.3,2.15,-50.89,-46.35,-42.23,-10.78
2020-06-01,ULTRACEMCO,Building Materials,Basic Materials,3815.7,110051,19.13,2.82,2.63,12.27,13.53,0.35,14.74,-19.84,-9.09,-11.26,7.96
2020-06-01,HDFCLIFE,Insurance - Life,Financial Services,516.1,104191,80.39,15.31,3.63,14.18,74.72,0,19.06,16.86,-11.57,-8.41,3
2020-06-01,COALINDIA,Thermal Coal,Energy,148.55,91548,5.48,2.85,1.02,18.39,3.4,8.08,51.98,-41.4,-26.73,-16.64,0.03
2020-06-01,ONGC,Oil & Gas Integrated,Energy,83.95,105612,9.77,0.51,0.27,1.5,4.86,7.86,5.27,-51.18,-35.45,-10.07,5.07
2020-06-01,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,465.4,111666,29.64,2.47,3.45,17.04,16.49,1.24,8.32,13.55,4.89,18.26,0.2
2020-06-01,NTPC,Utilities - Regulated Electric,Utilities,97.9,96868,8.35,0.82,0.88,4.05,7.69,3.23,9.76,-26.53,-14.72,-10.1,3
2020-06-01,POWERGRID,Utilities - Regulated Electric,Utilities,89.35,83101,7.51,1.28,2.26,2.7,6.27,5.33,17.09,-16.09,-15.69,-17.14,-1.97
2020-06-01,TITAN,Luxury Goods,Consumer Cyclical,958.9,85132,56.71,12.77,4.06,-244.63,33.77,0.63,22.51,-22.4,-18.37,-23.1,-1.15
2020-06-01,DABUR,Household & Personal Products,Consumer Defensive,469.25,82920,57.58,12.55,9.64,51.39,41.93,0.62,21.87,18.51,2.5,-7.37,-4.1
2020-06-01,IOC,Oil & Gas Refining & Marketing,Energy,57.43,81099,-88.81,0.85,0.17,11.35,23.01,7.16,-0.94,-47.97,-32.09,-19.23,2.32
2020-06-01,BAJAJFINSV,Financial Conglomerates,Financial Services,476.32,75801,22.5,2.42,1.4,-3.24,11.58,0.9,10.76,-41.83,-47.25,-46.86,-6.68
2020-06-01,PIDILITIND,Specialty Chemicals,Basic Materials,1473.15,74855,67.05,16.8,10.32,58.5,44.64,1.1,25.06,14.23,11.57,-4.25,-3.53
2020-06-01,BPCL,Oil & Gas Refining & Marketing,Energy,173.15,37561,11.15,1.03,0.13,4.77,11.11,14.18,8.36,-15.4,-30.91,-18.52,-6.41
2020-06-01,HINDZINC,Other Industrial Metals & Mining,Basic Materials,173.05,73120,10.74,1.81,3.99,11.04,6.69,0,16.88,-29.6,-18.18,0.09,-0.89
2020-06-01,BRITANNIA,Packaged Foods,Consumer Defensive,3434.85,82598,58.88,18.76,7.22,55.64,39.83,0.52,31.86,17.55,12.65,13.49,8.5
2020-06-01,SBILIFE,Insurance - Life,Financial Services,774.8,77483,54.49,8.86,1.77,4.03,50.67,0.26,16.27,11.6,-20.31,-13.9,6.6
2020-06-01,SHREECEM,Building Materials,Basic Materials,21069.35,76020,48.4,5.77,6.03,19.13,19.68,0.83,11.66,-2.54,3.1,-10.7,6.58
2020-06-01,BAJAJ-AUTO,Auto Manufacturers,Consumer Cyclical,2758.3,79817,15.31,3.68,2.74,20.73,11.46,6.51,24.06,-5.73,-15.16,2.45,5.15
2020-06-01,SBICARD,Credit Services,Financial Services,547.8,51437,41.47,9.63,7.02,-12.66,22.29,0.2,23.31,-9999999999,-9999999999,-9999999999,-8.57
2020-06-01,TECHM,Information Technology Services,Technology,543.55,51381,11.85,2.36,1.39,11.79,7.66,4.85,18.49,-28.51,-28.37,-27.75,-0.49
2020-06-01,GODREJCP,Household & Personal Products,Consumer Defensive,633.3,64744,43.26,8.2,6.53,40.77,31.95,1.26,18.95,-7.96,-8.97,2.36,16.59
2020-06-01,DIVISLAB,Drug Manufacturers - Specialty & Generic,Healthcare,2480.05,65838,47.83,9.01,12.44,54.15,32.73,1.56,18.83,55.75,37.06,13.6,6.31
2020-06-01,DRREDDY,Drug Manufacturers - Specialty & Generic,Healthcare,3953.55,65541,33.68,4.23,3.75,21.96,35.52,0.6,12.58,47.61,37.38,29.89,0.44
2020-06-01,ICICIPRULI,Insurance - Life,Financial Services,383.9,55123,51.74,7.64,2.74,6.46,46.95,0.61,14.79,-0.99,-23.32,-15.75,-6.81
2020-06-01,ADANIPORTS,Marine Shipping,Industrials,329.35,66916,17.95,2.61,6.21,9.04,11.48,1.05,14.69,-20.91,-10.47,-5.17,13.53
2020-06-01,ICICIGI,Insurance - Diversified,Financial Services,1302.6,59199,49.74,9.8,5.12,18.92,31.95,0,19.77,10.72,-4.49,7.57,0.93
2020-06-01,BERGEPAINT,Specialty Chemicals,Basic Materials,408.38,47596,72.6,17.89,7.56,65.68,43,0.8,24.73,48.37,-1.44,-9.53,-3.61
2020-06-01,HDFCAMC,Asset Management,Financial Services,2654.4,56487,44.81,14.02,28.2,43.96,33.04,0.45,31.33,49.77,-20.57,-13.31,4.89
2020-06-01,GSKCONS,,,,,,,,,,,,,,,
2020-06-01,INDIGO,Airlines,Industrials,953.55,36693,-157.09,6.24,1.04,5.26,10.53,0.52,-3.98,-43.12,-32.17,-22.38,-4.19
2020-06-01,SIEMENS,Specialty Industrial Machinery,Industrials,1125.5,,,,,,,,,-11.5,-24.25,-17.03,-1.25
2020-06-01,EICHERMOT,Auto Manufacturers,Consumer Cyclical,1698.57,46379,25.38,4.65,5.11,27.38,16.91,1.47,18.31,-14.85,-20.66,-5.05,15.49
2020-06-01,MARICO,Household & Personal Products,Consumer Defensive,338.45,43660,42.79,14.44,6.02,35.96,28.91,2.35,33.77,-9.01,-3.85,14.3,17.93
2020-06-01,M&M,Auto Manufacturers,Consumer Cyclical,461.1,57324,443.37,1.43,0.77,-39.35,10.42,1.98,0.32,-28.74,-12.26,-1.1,25.76
2020-06-01,JSWSTEEL,Steel,Basic Materials,193.95,46595,11.63,1.27,0.66,3.64,9.22,2.56,11.01,-28.62,-25.35,-21.3,7.36
2020-06-01,MCDOWELL-N,Beverages - Wineries & Distilleries,Consumer Defensive,589.3,41802,63.43,11.21,4.51,53.37,26.22,0,17.67,6.36,-0.89,-11.71,9.81
2020-06-01,GAIL,Utilities - Regulated Gas,Utilities,61.3,41471,4.4,0.84,0.57,4.97,3.75,9.55,19.12,-49.06,-25.4,-10.9,-3.92
2020-06-01,CIPLA,Drug Manufacturers - General,Healthcare,642.5,51801,33.53,3.29,3.1,16.88,15.29,1.09,9.81,14.97,36.7,51.07,8.97
