date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2024-05-01,RELIANCE,Oil & Gas Refining & Marketing,Energy,2934,1985172,28.51,2.5,2.2,12.5,13.2,0.31,8.77,30.22,26.48,2.83,-1.2
2024-05-01,TCS,Information Technology Services,Technology,3820.65,1382345,30.35,15.28,5.74,31.18,20.59,1.82,50.73,18.68,14.02,-0.87,-2.45
2024-05-01,HDFCBANK,Banks - Regional,Financial Services,1520.1,,,,,,,,,-9.91,2.45,3.67,3.37
2024-05-01,ICICIBANK,Banks - Regional,Financial Services,1150.4,,,,,,,,,24.76,23.2,12.22,4.62
2024-05-01,BHARTIARTL,Telecom Services,Communication Services,1322.3,799233,103.3,9.74,5.33,10.13,13.66,0.52,9.1,67.34,42.07,14.86,8.62
2024-05-01,SBIN,Banks - Regional,Financial Services,826.25,737397,10.99,1.78,2.2,34.09,2.97,1.37,16.17,43.62,42.91,27.58,8.96
2024-05-01,INFY,Information Technology Services,Technology,1420.55,,,,,,,,,11.2,2.27,-14.27,-5.01
2024-05-01,LICI,Insurance - Life,Financial Services,978.25,618743,17.19,7.48,0.78,24.4,15.99,0,43.5,77.85,60.88,4.4,0.79
2024-05-01,ITC,Tobacco,Consumer Defensive,435.65,543897,26.6,7.3,7.74,31.66,18.93,3.66,27.46,2.64,0.55,-1.64,2.1
2024-05-01,HINDUNILVR,Household & Personal Products,Consumer Defensive,2230.45,524065,50.99,10.23,8.6,33.88,33.92,1.8,20.07,-9.02,-11.11,-9.83,-2.43
2024-05-01,LT,Engineering & Construction,Industrials,3594.3,494098,38.29,5.72,2.23,27.05,23.72,0.85,15.12,50.74,23.46,5.78,-6.35
2024-05-01,BAJFINANCE,Credit Services,Financial Services,6923.55,427881,29.34,5.58,12.47,-5.88,16.8,0.42,18.84,10.79,-6.58,2.67,-4.52
2024-05-01,HCLTECH,Information Technology Services,Technology,1366.6,370074,23.62,5.42,3.37,16.49,14.26,3.8,23,28.01,7.92,-13.36,-12.21
2024-05-01,MARUTI,Auto Manufacturers,Consumer Cyclical,12817.5,402986,29.88,4.71,2.99,23.99,17.51,0.67,15.75,46.04,24.73,20.49,1.97
2024-05-01,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1502.1,360405,37.63,5.66,7.55,29.7,25.66,0.8,15.04,54.37,31.64,6.69,-7.8
2024-05-01,ADANIENT,Thermal Coal,Energy,3054.7,348237,112.14,8.91,3.61,33.77,32.98,0.04,8.29,59.11,36.99,-3.13,-6.07
2024-05-01,KOTAKBANK,Banks - Regional,Financial Services,1623.95,322829,17.76,2.48,4.5,20.58,7.01,0.1,14.01,-15.47,-6.31,-10.91,-9.31
2024-05-01,TITAN,Luxury Goods,Consumer Cyclical,3589.25,318389,91.14,33.9,6.81,187.84,57.24,0.28,37.22,34.74,9.61,-1.05,-3.99
