date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,POONAWALLA,Credit Services,Financial Services,343.75,26399,38.8,3.85,14.07,-5.21,26.17,0.12,9.97,32.75,11.66,17.88,6.61
2023-06-01,GLAXO,Drug Manufacturers - General,Healthcare,1327.2,22484,36.82,12.91,6.97,46.43,24.77,6.78,35.07,-12.98,-0.67,0.18,7.85
2023-06-01,MFSL,Insurance - Life,Financial Services,703.2,24269,64.1,6.9,0.77,2.45,34.65,0,10.76,-12.87,-0.42,1.99,8.38
2023-06-01,METROBRAND,Apparel Retail,Consumer Cyclical,971.1,26389,73.24,17.05,12.41,69.32,37.33,0.33,23.35,66.86,16.31,20.34,9.04
2023-06-01,MSUMI,Auto Parts,Consumer Cyclical,58.1,25687,52.82,19.31,3.66,114.9,32.38,1.04,36.61,26.11,-3.49,16.9,9.93
2023-06-01,SUMICHEM,Agricultural Inputs,Basic Materials,400,19966,39.76,8.38,5.69,51.28,28.05,0.25,21.09,-15.19,-15,-11.08,-2.14
2023-06-01,RELAXO,Footwear & Accessories,Consumer Cyclical,900.15,22409,144.95,12.08,8.05,56.01,63.67,0.28,8.33,-8.5,-5.85,17.05,5.69
2023-06-01,NAVINFLUOR,Chemicals,Basic Materials,4592.25,22765,60.87,10.42,10.96,-357.99,40.29,0.24,17.17,18.24,3.93,8.81,-4.34
2023-06-01,SKFINDIA,Tools & Accessories,Industrials,4454.45,22005,41.94,9.4,5.11,31.88,26.29,0.33,22.42,23.83,-7.93,-0.34,7.7
2023-06-01,CENTRALBK,Banks - Regional,Financial Services,27.75,24090,14.38,0.82,1.52,-2.74,-0.73,0,5.75,47.61,8.82,1.65,-8.11
2023-06-01,GLAND,Drug Manufacturers - General,Healthcare,932.45,15358,19.66,1.93,4.24,42.19,11.13,0,9.81,-66.71,-45.81,-27.26,-32.22
2023-06-01,KANSAINER,Specialty Chemicals,Basic Materials,287.13,23212,49,5.12,3.08,56.85,27.55,0.24,10.45,6.89,-2.27,4.9,13.18
2023-06-01,GRINDWELL,Building Products & Equipment,Industrials,2116.95,23439,64.76,12.98,9.28,59.7,42.31,0.57,20.04,23.03,9.24,16.6,11.96
2023-06-01,TIMKEN,Tools & Accessories,Industrials,3326.8,25024,64.04,12.28,8.92,73.35,40.58,0.05,19.18,24.49,-5.08,15.95,14.12
2023-06-01,IPCALAB,Drug Manufacturers - Specialty & Generic,Healthcare,705.5,17899,37.97,3.06,2.87,22.21,17.56,0.57,8.07,-20.66,-18.77,-11.92,-0.4
2023-06-01,SUNDRMFAST,Auto Parts,Consumer Cyclical,1135.75,23866,48.25,7.91,4.21,50.89,27.49,0.5,16.4,43.63,24.81,13.8,7.47
2023-06-01,ATUL,Specialty Chemicals,Basic Materials,6742.1,19899,38.71,4.26,3.67,28.16,22.1,0.48,11.01,-16.68,-24.14,-4.4,2.28
2023-06-01,ZEEL,Broadcasting,Communication Services,192.15,18457,384.3,1.72,2.28,143.02,26.66,1.56,0.45,-24.1,-29.11,-3.92,-2.14
2023-06-01,L&TFH,Credit Services,Financial Services,104.85,26000,16.03,1.21,3.99,3.87,13.01,0.48,7.54,38.23,14.78,14.78,13.41
2023-06-01,ABFRL,Apparel Manufacturing,Consumer Cyclical,203.3,19191,-535,5.74,1.55,30.16,15.28,0,-1.08,-25.92,-35.91,-13.86,-9.3
2023-06-01,APOLLOTYRE,Auto Parts,Consumer Cyclical,391,24833,23.74,1.93,1.01,11.62,9.01,0.83,8.12,77.85,22.49,23.79,12.94
2023-06-01,KPRMILL,Textile Manufacturing,Consumer Cyclical,575,19655,24.15,5.3,3.3,65.8,15.63,0.37,21.96,-2.9,5.58,-0.79,-4.06
2023-06-01,ZFCVINDIA,Auto Parts,Consumer Cyclical,10535.95,19985,62.91,8.3,5.85,66.96,37.15,0.11,13.19,40.41,12.48,2.44,2.19
2023-06-01,FORTIS,Medical Care Facilities,Healthcare,278.85,21053,35.75,2.91,3.34,25.6,17.98,0.08,8.13,14.42,-3.41,0.81,6.96
2023-06-01,AARTIIND,Specialty Chemicals,Basic Materials,514.6,18655,34.22,3.79,2.82,14.14,19.64,0.49,11.08,-31.37,-23.64,-5.6,-7.46
2023-06-01,HATSUN,Packaged Foods,Consumer Defensive,873.55,19471,115.86,13.51,2.69,26.27,29.81,0.66,11.51,-3.32,-5.89,-2.53,-1.72
2023-06-01,CARBORUNIV,Conglomerates,Industrials,1156.35,21965,53.19,7.79,4.77,51.06,28.56,0.3,14.68,61.78,34.2,14.43,3.6
2023-06-01,CROMPTON,"Furnishings, Fixtures & Appliances",Consumer Cyclical,273.9,17424,37.68,6.55,2.54,31.53,22.27,0.91,17.41,-24.41,-25.62,-11.94,5.9
2023-06-01,VINATIORGA,Specialty Chemicals,Basic Materials,1815.1,18656,44.89,8.41,9,36.22,29.91,0.36,18.9,-11.94,-15.35,-2.39,-6.86
2023-06-01,IIFL,Credit Services,Financial Services,442.95,17350,11.64,1.93,3.32,-3.32,9.58,1,16.68,35.73,-4.3,-0.74,-5.14
2023-06-01,BATAINDIA,Footwear & Accessories,Consumer Cyclical,1577.85,20280,62.79,14.1,5.88,32.25,25.77,3.45,22.46,-14.82,-9.07,12.29,5.82
