date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2024-06-20,RELIANCE,Oil & Gas Refining & Marketing,Energy,2947.4,1994239,28.64,2.51,2.21,12.56,13.25,0.31,8.77,24.53,14.91,1.28,2.62
2024-06-20,TCS,Information Technology Services,Technology,3787.25,1370261,30.09,15.14,5.69,30.9,20.41,1.83,50.73,16.24,-0.96,-3.16,-0.86
2024-06-20,HDFCBANK,Banks - Regional,Financial Services,1669.35,,,,,,,,,2.06,-0.09,15.7,14.43
2024-06-20,ICICIBANK,Banks - Regional,Financial Services,1156.8,,,,,,,,,25.1,16.34,6.1,3.2
2024-06-20,BHARTIARTL,Telecom Services,Communication Services,1381.15,834803,107.9,10.18,5.57,10.58,14.14,0.5,9.1,64.62,39.57,11.73,2.74
2024-06-20,SBIN,Banks - Regional,Financial Services,843.75,753015,11.22,1.81,2.25,34.81,3.01,1.34,16.17,48.98,32.51,13,1.58
2024-06-20,INFY,Information Technology Services,Technology,1515.4,,,,,,,,,16.63,-3.04,0.43,5.67
2024-06-20,LICI,Insurance - Life,Financial Services,1027.4,649831,18.05,7.85,0.82,25.63,16.85,0,43.5,61.53,29.59,13.36,0.36
2024-06-20,ITC,Tobacco,Consumer Defensive,423.3,528479,25.84,7.09,7.52,30.76,18.4,3.77,27.46,-5.31,-7.01,-1.24,-2.64
2024-06-20,HINDUNILVR,Household & Personal Products,Consumer Defensive,2482.2,583216,56.75,11.39,9.57,37.7,37.74,1.61,20.07,-7.26,-3.63,10,7.42
2024-06-20,LT,Engineering & Construction,Industrials,3594.45,494118,38.29,5.72,2.23,27.05,23.72,0.85,15.12,50.12,3.35,-0.65,4.46
2024-06-20,BAJFINANCE,Credit Services,Financial Services,7207.1,445405,30.54,5.81,12.98,-6.12,17.25,0.41,18.84,0.01,-1.21,6.6,6.89
2024-06-20,HCLTECH,Information Technology Services,Technology,1443.45,390885,24.95,5.73,3.56,17.41,15.07,3.6,23,23.32,-1.32,-7.34,7.57
2024-06-20,MARUTI,Auto Manufacturers,Consumer Cyclical,12149.5,381984,28.32,4.46,2.83,22.74,16.59,0.71,15.75,28.69,18.91,-1.53,-2.6
2024-06-20,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1471,352943,36.86,5.54,7.39,29.08,25.12,0.82,15.04,48.3,18.28,-8.57,-4.54
2024-06-20,ADANIENT,Thermal Coal,Energy,3259.45,371578,119.66,9.51,3.85,36.03,34.85,0.04,8.29,35.47,16.06,4.88,4.55
2024-06-20,KOTAKBANK,Banks - Regional,Financial Services,1766.25,351117,19.31,2.7,4.9,22.39,7.61,0.1,14.01,-4.3,-5.07,-0.57,4
2024-06-20,TITAN,Luxury Goods,Consumer Cyclical,3435.95,304790,87.25,32.45,6.52,179.82,54.91,0.29,37.22,15.65,-5.28,-7.3,1.75
