date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2021-06-01,RELIANCE,Oil & Gas Refining & Marketing,Energy,2001.89,1353692,26.62,1.93,2.9,50.21,16.78,0.29,7.02,42.66,10.43,-1.51,8.74
2021-06-01,TCS,Information Technology Services,Technology,3153,1166311,36.36,13.49,7.1,30.06,24.15,0.93,37.52,54.16,16.37,3.07,3.87
2021-06-01,HDFCBANK,Banks - Regional,Financial Services,1511.7,833367,25.61,3.86,8.9,9.04,8.39,0,15.09,53.06,9.77,-4.74,7.04
2021-06-01,INFY,Information Technology Services,Technology,1387.2,588887,2274.1,563.96,434.25,1807.51,1629.63,0.02,25.02,98.3,23.15,3.25,2.43
2021-06-01,HINDUNILVR,Household & Personal Products,Consumer Defensive,2358.3,554099,69.3,11.62,11.84,60.47,46.68,1.59,16.77,11.84,10.84,7.51,0.19
2021-06-01,HDFC,,,,,,,,,,,,,,,
2021-06-01,ICICIBANK,Banks - Regional,Financial Services,650.1,449609,24.23,2.85,3.79,3.26,6,0,11.67,91.63,34.92,2.85,8.26
2021-06-01,KOTAKBANK,Banks - Regional,Financial Services,1797,356136,35.59,4.2,8.36,72.96,13.39,0.01,11.78,43.94,-1.32,-5.4,2.76
2021-06-01,SBIN,Banks - Regional,Financial Services,432.55,386035,17.23,1.4,2.06,4.29,1.47,0,8.13,154.37,68.77,6.79,22.36
2021-06-01,BAJFINANCE,Credit Services,Financial Services,5784.8,348585,79.24,9.44,21.76,-431.81,28.75,0,11.97,167.71,18.85,4.36,6.11
2021-06-01,BHARTIARTL,Telecom Services,Communication Services,523.08,292492,-19.01,4.96,2.91,6.07,12.43,0.92,-25.59,-4.68,11.04,-2.45,-0.72
2021-06-01,ITC,Tobacco,Consumer Defensive,215.25,264948,20.12,4.39,5.41,21.15,13.65,7.13,21.81,7.33,9.71,2.52,6.24
2021-06-01,HCLTECH,Information Technology Services,Technology,950.7,257989,23.15,4.31,3.42,13.15,12.39,1.26,18.6,69.84,10.26,-1.51,5.76
