date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2022-06-01,RELIANCE,Oil & Gas Refining & Marketing,Energy,2430.72,1644624,26.76,2.11,2.35,14.86,15.6,0.26,7.79,21.42,9.35,10.73,-5.28
2022-06-01,TCS,Information Technology Services,Technology,3355.2,1227685,32.38,13.77,6.4,30.73,21.61,1.08,43,6.41,-7.84,-5.34,-5.28
2022-06-01,HDFCBANK,Banks - Regional,Financial Services,1394.85,773520,20.1,3.09,7.59,13.31,7.43,0.47,15.41,-7.73,-7.84,1.74,-0.63
2022-06-01,INFY,Information Technology Services,Technology,1478.55,619958,2112.21,623.64,380.09,1853.39,1527.35,0.03,29.81,6.59,-14.81,-14.08,-4.05
2022-06-01,ICICIBANK,Banks - Regional,Financial Services,752.65,523000,21.24,2.87,4.49,9,6.15,0.26,13.79,15.77,5.07,7.78,1.57
2022-06-01,HINDUNILVR,Household & Personal Products,Consumer Defensive,2308.45,542392,61.09,11.06,10.4,59.95,41.47,1.39,18.1,-2.11,-1.5,10.4,3.49
2022-06-01,SBIN,Banks - Regional,Financial Services,468.3,417940,11.81,1.37,1.77,7.24,1.35,0.85,11.58,8.26,-1.03,0.19,-4.62
2022-06-01,BAJFINANCE,Credit Services,Financial Services,6010.15,362581,51.91,8.29,18.01,-9.78,25.16,0.17,16.08,3.9,-14.98,-10.94,-9.3
2022-06-01,HDFC,,,,,,,,,,,,,,,
2022-06-01,BHARTIARTL,Telecom Services,Communication Services,694.65,408550,91.04,6.14,3.51,7.43,12.1,0.35,6.39,32.8,-3.3,3.36,-6.3
2022-06-01,KOTAKBANK,Banks - Regional,Financial Services,1865.1,370160,30.71,3.81,8.05,44.55,13.04,0.06,12.44,3.79,-2.57,4.06,5.11
2022-06-01,WIPRO,Information Technology Services,Technology,470.75,258069,21.12,3.92,3.26,23.29,14.16,0.21,18.57,-13.27,-26.53,-17.35,-4.9
2022-06-01,HCLTECH,Information Technology Services,Technology,1017.9,275581,20.45,4.45,3.22,16.31,12.58,4.13,21.8,7.07,-13.1,-10.69,-4.59
2022-06-01,ITC,Tobacco,Consumer Defensive,271.85,335008,21.98,5.36,5.58,21.24,15.05,4.12,24.41,26.3,22.65,23.91,3.31
