date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-28,RELIANCE,Oil & Gas Refining & Marketing,Energy,3130.8,2118329,30.43,2.67,2.35,13.34,13.98,0.29,8.77,0.44,8.2,6.96,34.1,21.12,5.35,8.65
2024-06-28,TCS,Information Technology Services,Technology,3904.15,1412556,31.01,15.61,5.86,31.86,21.04,1.78,50.73,0.09,59.22,3.34,21.42,2.92,0.72,2.64
2024-06-28,HDFCBANK,Banks - Regional,Financial Services,1683.8,,,,,,,,,,,,0.46,-1.49,16.29,11.64
2024-06-28,ICICIBANK,Banks - Regional,Financial Services,1199.6,,,,,,,,,,,,27.96,20.37,9.72,8.86
2024-06-28,BHARTIARTL,Telecom Services,Communication Services,1444.05,872821,112.82,10.64,5.82,11.06,14.66,0.48,9.1,2.63,12.67,-9.29,65.56,39.9,17.54,4.86
2024-06-28,SBIN,Banks - Regional,Financial Services,848.95,757655,11.29,1.83,2.26,35.02,3.03,1.33,16.17,1.54,1.67,0.55,48.99,32.22,12.84,3.2
2024-06-28,INFY,Information Technology Services,Technology,1566.75,648627,2061.51,614.29,349.44,2060.44,1473.98,0.03,29.99,0.09,32.42,292.73,21.14,1.55,4.59,7.98
2024-06-28,LICI,Insurance - Life,Financial Services,988.75,625385,17.37,7.56,0.78,24.67,16.17,0,43.5,0,14.99,-1.44,59.48,18.77,7.92,-0.96
2024-06-28,ITC,Tobacco,Consumer Defensive,424.9,530476,25.94,7.12,7.54,30.88,18.47,3.75,27.46,0,31.28,4.36,-5.44,-8.05,-0.81,-1.4
2024-06-28,HINDUNILVR,Household & Personal Products,Consumer Defensive,2473.05,581066,56.54,11.34,9.53,37.56,37.6,1.62,20.07,0.03,20.49,36.37,-7.07,-7.17,9.22,4.2
2024-06-28,LT,Engineering & Construction,Industrials,3548.45,487795,37.8,5.65,2.21,26.7,23.47,0.86,15.12,1.35,12.15,1.45,46.54,0.64,-5.72,-2.38
2024-06-28,BAJFINANCE,Credit Services,Financial Services,7115.55,439747,30.15,5.73,12.81,-6.04,17.11,0.41,18.84,3.04,6.37,1.23,0.36,-2.9,-1.79,4.54
2024-06-28,HCLTECH,Information Technology Services,Technology,1459.6,395259,25.23,5.79,3.6,17.61,15.24,3.56,23,0.08,25.99,4.5,24.73,-0.44,-5.44,7.87
2024-06-28,MARUTI,Auto Manufacturers,Consumer Cyclical,12033.85,378348,28.05,4.42,2.8,22.52,16.43,0.72,15.75,0,14.84,0.44,26.13,16.81,-4.5,-5.9
2024-06-28,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1520.85,364903,38.1,5.73,7.64,30.07,25.99,0.79,15.04,0.05,15.23,2.92,48.84,20.76,-6.15,2.83
2024-06-28,ADANIENT,Thermal Coal,Energy,3177.15,362196,116.64,9.27,3.76,35.12,34.1,0.04,8.29,1.67,7.53,4.65,32.27,11.52,-0.62,-2.51
2024-06-28,KOTAKBANK,Banks - Regional,Financial Services,1802.5,358323,19.71,2.76,5,22.84,7.76,0.09,14.01,0.58,3.42,0.89,-2.07,-5.53,0.95,6.79
2024-06-28,TITAN,Luxury Goods,Consumer Cyclical,3404.2,301974,86.44,32.15,6.46,178.16,54.43,0.29,37.22,1.65,31.34,11.43,12.42,-7.38,-10.46,0.7
2024-06-28,ONGC,Oil & Gas Integrated,Energy,274.2,344952,7.01,1.02,0.54,3.48,4.58,3.74,14.6,0.45,14.29,0.21,72.94,33.72,2.29,0.86
2024-06-28,TATAMOTORS,Auto Manufacturers,Consumer Cyclical,989.75,379297,12.08,4.47,0.87,5.58,6.89,0.2,36.98,1.26,45.88,0.01,68.71,26.9,-0.31,4.89
2024-06-28,NTPC,Utilities - Regulated Electric,Utilities,378.35,366874,17.63,2.28,2.06,9,10.79,2.02,12.95,1.48,9.2,0.76,100.08,21.6,12.67,3.77
2024-06-28,AXISBANK,Banks - Regional,Financial Services,1265.25,390529,14.88,2.49,5.1,-70.31,5.13,0.08,16.8,1.45,2.6,0.1,29.34,14.78,20.82,9.1
2024-06-28,DMART,Discount Stores,Consumer Defensive,4716.75,306935,121.16,16.42,6.04,111.78,72.27,0,13.56,0.03,17.57,18.12,19,15.53,4.22,5.36
2024-06-28,ADANIGREEN,Utilities - Renewable,Utilities,1788.8,283352,257.59,28.81,30.73,36.74,41.16,0,11.19,6.6,8.77,9.08,86.99,12.01,-2.53,-4.83
2024-06-28,ADANIPORTS,Marine Shipping,Industrials,1478.1,319291,39.36,6.03,11.95,21.26,22.49,0.34,15.32,0.93,11.69,0.75,95.39,44.3,10.15,4.83
2024-06-28,ULTRACEMCO,Building Materials,Basic Materials,11667.9,336255,48.04,5.58,4.74,30.86,25.64,0.33,11.63,0.19,13.29,1.25,41.25,11.09,19.68,16.41
2024-06-28,ASIANPAINT,Specialty Chemicals,Basic Materials,2917.05,279700,51.23,14.93,7.91,45.83,33.86,0.91,29.15,0.13,31.42,1.55,-12.88,-14.26,2.47,0.58
2024-06-28,COALINDIA,Thermal Coal,Energy,473.15,291590,7.8,3.52,2.24,16.11,5.18,5.18,45.21,0.08,19.9,0.44,108.21,25.84,9,-2.73
2024-06-28,BAJAJFINSV,Financial Conglomerates,Financial Services,1588.15,253036,31.06,4.19,2.39,-3.68,14.33,0.47,13.51,3.79,19.71,1.12,4.56,-5.79,-3.39,1.16
2024-06-28,BAJAJ-AUTO,Auto Manufacturers,Consumer Cyclical,9501.65,265267,34.84,9.16,6.06,40.45,25.46,1.49,26.61,0.06,27.76,1.23,101.46,39.79,3.86,4.76
2024-06-28,POWERGRID,Utilities - Regulated Electric,Utilities,330.95,307804,19.77,3.53,6.71,8.25,10.6,3.64,17.87,1.42,12.95,20.49,76.4,39.52,19.52,4.17
2024-06-28,NESTLEIND,Packaged Foods,Consumer Defensive,2551.65,,,,,,,,,,,,12.19,-4,-2.7,3.05
2024-06-28,WIPRO,Information Technology Services,Technology,514.85,269017,24.73,3.59,3,15.27,14.28,0.19,14.73,0.22,14.86,36.53,34.88,9.24,7.24,14.21
2024-06-28,M&M,Auto Manufacturers,Consumer Cyclical,2866.65,343416,28.47,5.19,2.48,-61,16.39,0.53,17.02,1.61,12.07,3,105.49,65.76,49.2,13.14
2024-06-28,IOC,Oil & Gas Refining & Marketing,Energy,165.63,233891,5.47,1.28,0.3,3.29,4.59,4.69,22.75,0.72,22.56,0.02,82.71,27.55,-1.26,0.35
2024-06-28,JIOFIN,Asset Management,Financial Services,358.15,,,,,,,,,,,,-9999999999,53.75,1.24,2.56
2024-06-28,HAL,Aerospace & Defense,Industrials,5264.25,352060,46.2,12.08,11.59,42.81,29.78,0.56,26.15,0,19.99,1.5,182.88,87.74,58.23,4.21
2024-06-28,DLF,Real Estate - Development,Real Estate,824.75,204152,74.84,5.18,31.76,80.41,55.33,0.48,6.92,0.12,4.28,2.2,69.74,13.54,-8.05,0.79
2024-06-28,ADANIPOWER,Utilities - Independent Power Producers,Utilities,718.6,277160,13.92,6.42,5.5,19.56,11.05,0,48.28,0.8,18.62,0.13,182.19,36.84,34.62,5.79
2024-06-28,JSWSTEEL,Steel,Basic Materials,931.5,226961,25.75,2.92,1.32,18.79,10.41,0.36,11.35,1.13,12.38,0.23,18.9,5.82,12.2,3.28
2024-06-28,TATASTEEL,Steel,Basic Materials,174.01,217226,-48.95,2.36,0.96,10.7,17.78,2.04,-4.82,0.95,7.1,0.33,55.99,24.65,11.65,-0.14
2024-06-28,SIEMENS,Specialty Industrial Machinery,Industrials,7704.5,,,,,,,,,,,,104.65,91.43,43.36,9.8
2024-06-28,IRFC,Credit Services,Financial Services,173.81,227144,35.42,4.62,8.52,28.7,64.48,0.86,13.04,3.8,1.32,8.96,432.34,74.95,22.1,-3.6
2024-06-28,VBL,Beverages - Non-Alcoholic,Consumer Defensive,1629.5,,,,,,,,,,,,105.34,31.74,16.51,13.93
2024-06-28,ZOMATO,Internet Retail,Consumer Cyclical,200.56,174092,501.4,8.53,14.37,269.49,269.75,0,1.72,0.04,-2.28,-3.76,167.77,62.13,10.14,9.39
2024-06-28,PIDILITIND,Specialty Chemicals,Basic Materials,3158.95,160668,92.96,19.11,12.97,58.98,58.31,0.35,20.57,0.05,25.43,2.6,21.56,16.35,4.78,4.02
2024-06-28,GRASIM,Building Materials,Basic Materials,2670.45,181172,31.36,2.04,1.38,-16.9,19.68,0.62,6.34,1.55,4.55,-1.77,53.81,25.59,16.75,11.24
2024-06-28,SBILIFE,Insurance - Life,Financial Services,1491.95,149414,78.9,10.02,1.13,5.15,74.49,0.18,12.7,0,33.14,7.83,14.77,4.14,-0.55,5.6
2024-06-28,BEL,Aerospace & Defense,Industrials,305.9,223607,56.13,13.7,11.03,47.99,38.64,0.65,24.41,0,26.3,1.69,153.33,66.07,51.81,4.71
2024-06-28,LTIM,Information Technology Services,Technology,5385.05,159486,34.86,7.97,4.49,28.13,22.54,1.11,22.89,0.1,25.52,9.18,5.82,-14.45,9.04,10.33
2024-06-28,TRENT,Apparel Retail,Consumer Cyclical,5479.85,194804,131.03,47.89,15.74,144.41,67.19,0.04,36.55,0.43,22.26,0.56,209.72,79.38,38.8,17.29
2024-06-28,PNB,Banks - Regional,Financial Services,123.26,135722,14.9,1.23,2.52,-4.86,0.92,0.53,8.25,0.66,1.61,0.09,144.56,28.73,-0.92,-3.74
2024-06-28,INDIGO,Airlines,Industrials,4228.25,163202,19.97,81.75,2.37,7.69,11.47,0,409.35,25.69,20.63,-0.01,61.32,42.5,19.15,4.98
2024-06-28,BANKBARODA,Banks - Regional,Financial Services,275.4,142420,7.59,1.19,1.98,-22.7,1.47,2,15.68,0.85,2.26,0.29,44.95,19.17,4.3,4.56
2024-06-28,HDFCLIFE,Insurance - Life,Financial Services,595.05,127960,81.4,8.72,1.26,12.09,81.13,0.37,10.73,0.06,33.56,5.8,-8.73,-7.99,-6.05,5.91
2024-06-28,ABB,Specialty Industrial Machinery,Industrials,8490.9,,,,,,,,,,,,92.49,81.63,33.49,3.57
2024-06-28,BPCL,Oil & Gas Refining & Marketing,Energy,303.95,65935,2.41,0.87,0.15,1.83,2.51,8.08,35.51,0.72,30.7,0,66.37,34.9,0.91,-4.05
2024-06-28,PFC,Credit Services,Financial Services,485.1,160088,8.1,1.58,4.77,-1.64,12,3.84,19.54,8.52,3.08,0.33,178.41,26.79,24.3,-4.9
2024-06-28,GODREJCP,Household & Personal Products,Consumer Defensive,1375.85,140725,-251.07,11.17,10.07,67.98,195.15,0.36,-4.45,0.26,21.92,1.89,28.69,21.63,9.91,5.87
2024-06-28,TATAPOWER,Utilities - Independent Power Producers,Utilities,440.6,140787,38.09,4.35,2.29,11.18,14.09,0.45,11.42,1.66,7.12,3.49,102.06,32.65,11.77,1.79
2024-06-28,HINDALCO,Aluminum,Basic Materials,693.55,155143,15.28,1.46,0.72,6.45,7.86,0.43,9.57,0.53,9.7,188.09,65.05,12.8,23.79,-1.67
2024-06-28,HINDZINC,Other Industrial Metals & Mining,Basic Materials,669.65,282949,36.47,18.62,10.08,21.2,19.82,1.94,51.06,0.6,44.19,-1.39,118.2,110.55,129.1,-5.92
2024-06-28,TECHM,Information Technology Services,Technology,1430.35,139711,53.81,5.24,2.69,21.91,25.56,2.8,8.84,0.1,10.22,-1.05,29.08,12.39,14.6,11.19
2024-06-28,AMBUJACEM,Building Materials,Basic Materials,670.25,,,,,,,,,,,,54.35,28.67,9.46,6.37
2024-06-28,INDUSINDBK,Banks - Regional,Financial Services,1464.5,113985,12.7,1.8,3.8,-6.73,3.32,0.95,14.2,0.75,3.09,0.63,9.78,-8.41,-5.7,0.29
2024-06-28,CIPLA,Drug Manufacturers - General,Healthcare,1480.8,119555,29.01,4.48,4.7,28.92,17.55,0.57,15.43,0.02,19.07,0.62,46.63,18.82,-1.08,-0.85
2024-06-28,GAIL,Utilities - Regulated Gas,Utilities,219.55,144356,14.58,1.87,1.08,11.47,9.72,2.51,12.86,0.28,10.31,0.19,111.51,35.44,21.26,9.39
2024-06-28,RECLTD,Credit Services,Financial Services,525.4,138350,9.78,1.99,8.02,-2.4,12.15,2.07,20.4,6.42,3.03,0.36,215.08,27.26,16.5,-7.62
2024-06-28,BRITANNIA,Packaged Foods,Consumer Defensive,5475.55,131889,61.64,33.46,7.97,51.26,39.49,1.31,54.29,0.52,57.51,-7.87,9.68,2.57,11.49,4.7
2024-06-28,UNIONBANK,Banks - Regional,Financial Services,136.69,104344,7.56,1.07,1.9,5.24,0.14,1.97,14.14,0.28,2,0.17,93.34,14.77,-10.95,-11.81
2024-06-28,ADANIENSOL,Utilities - Independent Power Producers,Utilities,997.35,111254,97.82,8.8,6.7,18.43,23.58,0.08,9,2.93,8.68,-12,-9999999999,-4.63,-2.86,-8.14
2024-06-28,IOB,Banks - Regional,Financial Services,64.28,121505,45.58,4.41,7.84,-108.59,7.4,0,9.67,1.1,1.75,1.71,167.83,48.45,7.22,-8.11
2024-06-28,LODHA,Real Estate - Development,Real Estate,1503.55,149522,94.03,8.56,14.49,59.52,57.42,0.06,8.87,0.44,12.49,0.43,124.96,46.9,32.37,16.12
2024-06-28,EICHERMOT,Auto Manufacturers,Consumer Cyclical,4672.95,127949,32.02,7.09,7.88,34.36,21.92,0.79,22.17,0.02,19.1,0.86,31.82,12.78,16.26,-1.53
2024-06-28,CANBK,Banks - Regional,Financial Services,119.47,21674,1.42,0.24,0.32,1.44,-0.77,10.04,16.58,0.62,1.9,0.04,101.4,36.54,2.81,2.51
2024-06-28,TATACONSUM,Packaged Foods,Consumer Defensive,1097.45,104569,89.08,6.51,6.88,53.99,51.52,0.77,7.16,0.22,8.74,-16.57,28.36,0.98,0.11,2.44
2024-06-28,DRREDDY,Drug Manufacturers - Specialty & Generic,Healthcare,6402.35,106618,19.15,3.8,3.82,23.47,12.98,0.62,19.85,0.07,22.41,0.82,25.34,10.43,3.97,6.69
2024-06-28,TVSMOTOR,Auto Manufacturers,Consumer Cyclical,2364.85,112351,66.62,16.56,2.87,-89.69,24.67,0.34,24.86,3.83,21.61,2.47,77.8,16.74,9.9,4.92
2024-06-28,ZYDUSLIFE,Drug Manufacturers - Specialty & Generic,Healthcare,1073.95,108065,28.17,5.45,5.68,33.48,19.16,0.57,19.35,0.04,18.96,0.29,84.38,55.83,6.61,2.79
2024-06-28,ATGL,Utilities - Regulated Gas,Utilities,896,98543,147.61,27.52,22.02,103.17,85.76,0.03,18.64,0.43,19.78,6.67,36.9,-9.31,-3.3,-5.76
2024-06-28,VEDL,Other Industrial Metals & Mining,Basic Materials,454,168454,40.07,5.48,1.19,4.72,7.75,11.02,13.8,2.37,21.82,-0.67,62.17,75.59,67.13,-0.06
2024-06-28,CHOLAFIN,Credit Services,Financial Services,1423.5,119563,34.67,6.1,11.73,-3.35,17.78,0.14,17.46,6.86,3.78,1.29,26.25,12.99,23.08,14.76
2024-06-28,HAVELLS,Electrical Equipment & Parts,Industrials,1822.4,114207,89.87,15.34,6.14,58.48,54.62,0.41,17.06,0.04,18.67,4.85,41.33,33.22,20.29,-3.76
2024-06-28,HEROMOTOCO,Auto Manufacturers,Consumer Cyclical,5579.6,111549,29.79,6.3,2.95,22.66,18.82,2.42,21.16,0.03,24.04,0.89,97.25,34.79,18.15,8.47
2024-06-28,DABUR,Household & Personal Products,Consumer Defensive,600.7,106447,57.87,10.79,8.58,52.87,36.92,0.91,18.68,0.14,17.88,7.22,4.63,7.81,14.82,8.15
2024-06-28,SHREECEM,Building Materials,Basic Materials,27870.4,100559,41.97,4.86,4.9,30.04,19.93,0.38,11.57,0.08,12,0.47,15.87,-2.73,8.52,10.05
2024-06-28,MANKIND,Drug Manufacturers - Specialty & Generic,Healthcare,2129.2,85294,44.59,9.11,8.25,39.63,30.37,0,20.43,0.02,21.71,0.91,25.27,7.4,-7.46,1.27
2024-06-28,BAJAJHLDNG,Asset Management,Financial Services,8536.25,95003,13.07,1.75,12.39,48.94,12.79,1.5,13.4,0,11.5,0.26,22.14,11.23,3.19,9.52
2024-06-28,DIVISLAB,Drug Manufacturers - Specialty & Generic,Healthcare,4596.45,122022,76.26,8.99,15.55,96.77,47.82,0.65,11.79,0,12.87,-6.22,27.62,17.74,33.41,3.34
2024-06-28,APOLLOHOSP,Medical Care Facilities,Healthcare,6185.7,88941,98.97,12.82,4.67,46.32,37.8,0.24,12.96,0.77,14.09,10.2,20.65,8.44,-2.69,4.78
2024-06-28,NHPC,Utilities - Renewable,Utilities,100.7,101154,27.91,2.61,10.5,14.58,21.25,2.3,9.36,0.84,4.4,-3.85,121.56,55.88,12.26,-0.89
2024-06-28,SHRIRAMFIN,Credit Services,Financial Services,2911.5,109413,14.88,2.24,5.35,-3.52,9.57,1.71,15.05,3.09,5.85,0.66,71.16,41.8,23.38,22.61
2024-06-28,BOSCHLTD,Auto Parts,Consumer Cyclical,34084.4,100528,40.35,8.34,6.01,80.24,27.33,1.42,20.66,0,13.59,0.54,82.06,53.51,13.5,9.5
2024-06-28,TORNTPHARM,Drug Manufacturers - Specialty & Generic,Healthcare,2791.3,94471,57.05,13.78,8.94,28.93,27.79,1.07,24.15,0.59,26.57,1.73,42.88,21.07,7.33,2.84
2024-06-28,ICICIPRULI,Insurance - Life,Financial Services,605.7,87264,102.58,7.93,0.97,-11.56,95.19,0.1,7.73,0.11,30,22.78,5.67,13.25,-0.48,8.9
2024-06-28,IDBI,Banks - Regional,Financial Services,83.97,90288,15.61,1.77,4.98,-73.65,3.84,1.19,11.33,0.33,2.11,0.28,56.66,24.58,3.67,-2.3
2024-06-28,JSWENERGY,Utilities - Independent Power Producers,Utilities,734.5,120547,70.15,5.79,10.5,19.34,25.47,0.29,8.27,1.52,7.35,4.26,170.29,79.56,38.87,21.57
2024-06-28,JINDALSTEL,Steel,Basic Materials,1044.4,104694,17.63,2.36,2.09,17.42,11.38,0.19,13.4,0.37,11.77,0.2,81.29,39.61,22.99,0.56
2024-06-28,BHEL,Specialty Industrial Machinery,Industrials,300.85,104758,1203.4,4.29,4.57,-28.21,91.41,0.13,1.15,0.36,1.08,-13.88,253.73,55.44,21.65,2.3
2024-06-28,INDHOTEL,Lodging,Consumer Cyclical,625.05,88972,70.66,9.41,13.14,45.98,38.05,0.17,13.31,0.29,13.24,2.79,57.66,42.59,5.73,10.46
2024-06-28,CUMMINSIND,Specialty Industrial Machinery,Industrials,3966.85,109962,63.91,16.63,12.41,85.55,45.91,0.78,26.02,0.02,23.29,1.59,107.58,101.98,31.95,3.45
2024-06-28,ICICIGI,Insurance - Diversified,Financial Services,1789.55,88169,46.15,7.22,4.05,39.78,33.22,0,15.72,0.01,34.41,4.48,34.28,26.02,6.24,12.07
2024-06-28,CGPOWER,Electrical Equipment & Parts,Industrials,704.7,107632,75.53,35.67,13.38,271.12,59.31,0.18,47.29,0.01,33.57,1.57,88.2,55.08,30.28,11.47
2024-06-28,MCDOWELL-N,Beverages - Wineries & Distilleries,Consumer Defensive,1276.5,92847,64.37,13.04,8.2,83.05,41.57,0.31,19.77,0,15.39,2.7,39.78,14.2,12.54,8.16
2024-06-28,HDFCAMC,Asset Management,Financial Services,3993.3,85251,43.94,12.05,32.99,52.8,33.61,1.2,27.46,0,28.97,1.21,94.8,24.6,6.37,2.56
2024-06-28,MAXHEALTH,Medical Care Facilities,Healthcare,940.65,91423,86.78,10.87,16.91,81.5,56.61,0.11,12.58,0.15,11.6,-18.96,55.92,37.07,14.73,19.22
2024-06-28,SOLARINDS,Specialty Chemicals,Basic Materials,10020.8,90679,108.48,27.43,14.94,64.49,66.6,0.08,25.29,0.34,28.94,10.44,160.75,48.95,14.11,8.45
2024-06-28,MOTHERSON,Auto Parts,Consumer Cyclical,190.31,128963,47.46,4.93,1.32,17.04,16.41,0.34,10.39,0.76,12.65,0.58,121.81,86.67,62.52,28.85
2024-06-28,INDUSTOWER,Telecom Services,Communication Services,375.3,101105,16.75,3.74,3.54,8.73,7.58,0,22.32,0.76,18.89,0.09,128.35,88.55,28.9,10.07
2024-06-28,POLYCAB,Electrical Equipment & Parts,Industrials,6739.5,101252,56.88,12.37,5.61,78.11,37.53,0.3,21.79,0.02,26.43,1.42,86.48,22.87,33.06,-0.12
2024-06-28,OFSS,Software - Infrastructure,Technology,9882.25,85652,38.59,10.9,13.44,47.83,26.31,2.27,28.24,0.01,31.29,1.68,157.67,134.58,12.63,30.84
2024-06-28,SRF,Specialty Chemicals,Basic Materials,2436.05,72211,54.06,6.29,5.59,34.49,28.81,0.3,11.64,0.44,13.25,-1.41,5.54,-1.74,-4.85,8.8
2024-06-28,IRCTC,Railroads,Industrials,989.25,79140,71.22,24.5,18.53,89.71,49.94,0.45,34.4,0.02,40.72,6.78,57.32,11.46,6.41,-5.14
2024-06-28,COLPAL,Household & Personal Products,Consumer Defensive,2843.15,77330,58.42,41.26,13.7,64.5,39.08,1.51,70.62,0.04,88.36,2.21,68.41,12.39,4.9,5.71
2024-06-28,LUPIN,Drug Manufacturers - Specialty & Generic,Healthcare,1621.35,73882,38.72,5.17,3.76,20.25,19.39,0.25,13.4,0.2,16.8,0.11,82.26,22.56,0.28,1.24
2024-06-28,NAUKRI,Internet Content & Information,Communication Services,6785.85,87624,152.77,2.9,34.55,124.77,89.14,0.28,1.9,0.01,2.1,-0.24,53.12,32.02,21.35,14.6
2024-06-28,TIINDIA,Conglomerates,Industrials,4259.25,82375,68.61,16.15,5.04,122.01,37.36,0.2,23.54,0.18,17.91,2.67,35.33,20.26,13.99,14.47
2024-06-28,INDIANB,Banks - Regional,Financial Services,545.5,73477,8.73,1.22,2.3,-8.53,1.23,1.46,13.97,0.38,1.84,-1.64,95.98,29.6,4.76,-5.34
2024-06-28,HINDPETRO,Oil & Gas Refining & Marketing,Energy,332.1,47110,2.94,1,0.11,1.98,3.96,4.52,34.13,1.42,20.04,-0.01,85.12,24.88,4.73,-7.36
2024-06-28,BERGEPAINT,Specialty Chemicals,Basic Materials,504.2,58780,50.32,10.93,5.25,36.94,30.19,0.53,21.71,0.14,25.48,1.4,-10.39,-16.61,-12.01,2.34
2024-06-28,YESBANK,Banks - Regional,Financial Services,23.69,68152,53.84,1.62,5.07,7.07,5.99,0,3.05,1.91,0.84,0.94,46.23,10.44,2.11,4.13
2024-06-28,TORNTPOWER,Utilities - Independent Power Producers,Utilities,1498.4,72016,39.28,5.97,2.65,16.91,17.21,1.07,15.2,0.96,12.44,-2.93,141.93,60.45,10.34,2.9
2024-06-28,OIL,Oil & Gas E&P,Energy,723.05,78408,12.38,1.62,2.42,7.17,9.04,2.68,13.11,0.5,13.34,-0.45,197.8,94.29,20.46,13.49
2024-06-28,SBICARD,Credit Services,Financial Services,724.6,68908,28.56,5.7,5.2,-12.64,17.61,0.53,19.93,3.3,11.24,4.33,-15.41,-4.61,6.16,3.92
2024-06-28,IDEA,Telecom Services,Communication Services,17.89,89665,-2.87,-0.86,2.11,4.31,36.12,0,29.99,-2.34,-4.21,0.11,140.13,11.81,35.02,20.88
2024-06-28,MARICO,Household & Personal Products,Consumer Defensive,613,79244,53.63,20.68,8.21,55.18,37.05,1.55,38.65,0.14,37.53,3.91,17.21,11.76,23.29,1.25
2024-06-28,GODREJPROP,Real Estate - Development,Real Estate,3207.9,89193,123,8.93,29.38,-128.79,83.88,0,7.26,1.07,-1.34,4.57,102.63,59.33,39.47,16.3
2024-06-28,AUROPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1207.6,70758,22.3,2.37,2.47,29.06,11.95,0.37,10.63,0.22,13.15,0.35,63.47,11.4,10.92,-0.93
2024-06-28,UCOBANK,Banks - Regional,Financial Services,54.78,65495,39.13,2.41,5.76,65.38,3.36,0,12.62,0.93,1.13,-4.61,105.17,37.81,4.94,-4.4
2024-06-28,BANKINDIA,Banks - Regional,Financial Services,120.51,54865,7.78,0.78,1.86,-12.37,1.08,1.5,9.3,1.15,1.56,0.12,67.03,7.02,-12.07,-6.98
2024-06-28,PERSISTENT,Information Technology Services,Technology,4241.45,64468,59.68,13,6.56,52.79,35.62,0.63,22.06,0.09,26.33,3.33,73.98,14.8,6.45,16.21
2024-06-28,MUTHOOTFIN,Credit Services,Financial Services,1795.85,72097,16.67,2.87,7.41,-5.24,11.75,1.23,17.22,2.7,6.79,0.85,43.96,21.65,21.3,3.28
2024-06-28,NMDC,Steel,Basic Materials,246.05,72108,12.94,2.81,3.38,9.75,8.98,0,21.73,0.13,25.47,-27.47,135.45,17.36,21.96,-4.69
2024-06-28,ALKEM,Drug Manufacturers - Specialty & Generic,Healthcare,4991.35,59680,33.23,5.79,4.71,30.63,25.07,0.91,17.41,0.14,16.81,0.4,44.84,-4.06,1,-5.15
2024-06-28,PIIND,Agricultural Inputs,Basic Materials,3798.75,57625,34.27,6.6,7.52,28.3,25.5,0.3,19.26,0.02,19.04,0.93,-2.02,8.04,-1.78,6.15
2024-06-28,LTTS,Information Technology Services,Technology,4909.05,51916,39.82,9.75,5.38,34.78,24.23,0.96,24.47,0.12,27.68,5.18,27.61,-6.58,-10.46,5.16
2024-06-28,GICRE,Insurance - Reinsurance,Financial Services,378.75,66448,9.62,1.2,1.41,5.96,4.97,1.9,12.5,0,25.59,2.91,106.8,22.95,14.86,6.68
2024-06-28,TATACOMM,Telecom Services,Communication Services,1854.45,52852,54.59,29.59,2.52,16.61,14.76,1.13,54.21,6.3,16.16,-1.18,17.17,4.75,-7.76,3.57
2024-06-28,JSL,Steel,Basic Materials,822.5,67728,24.97,4.72,1.76,14.06,14.38,0.42,18.9,0.42,18.42,0.88,147.11,43.77,18.44,15.59
2024-06-28,MRF,Auto Parts,Consumer Cyclical,129459.15,54906,26.38,3.29,2.18,16.64,12.56,0.14,12.46,0.17,14.75,0.15,28.96,-0.09,-2.94,1.02
2024-06-28,SAIL,Steel,Basic Materials,148.65,61401,20.03,1.08,0.58,21.09,8.27,1.01,5.37,0.64,6.73,0.49,74.47,20.22,10.73,-8.47
2024-06-28,PGHH,Household & Personal Products,Consumer Defensive,16612.95,,,,,,,,,,,,14.6,-4.34,-1.86,4.85
2024-06-28,SUZLON,Specialty Industrial Machinery,Industrials,52.86,71957,108.97,18.35,11.08,2166.72,70.91,0,16.84,0.04,20.35,-1.33,258.37,38.38,30.84,14.66
2024-06-28,LINDEINDIA,Specialty Chemicals,Basic Materials,8299.2,,,,,,,,,,,,91.57,47.14,29.5,-1.38
2024-06-28,SUPREMEIND,Building Products & Equipment,Industrials,5955.9,75656,70.73,14.81,7.47,53.55,43.33,0.47,20.94,0.01,23.64,2.99,92,31.1,40.73,7.98
2024-06-28,CONCOR,Railroads,Industrials,1042.4,63513,50.38,5.37,7.34,45.74,27.26,1.06,10.66,0.08,10.47,6.79,58.64,21.26,18.17,-3.91
2024-06-28,OBEROIRLTY,Real Estate - Development,Real Estate,1765.75,64204,33.32,4.64,14.28,22.85,24.21,0.45,13.92,0.18,14.44,28.61,80.15,22.34,19.64,-3.66
2024-06-28,ASTRAL,Building Products & Equipment,Industrials,2380.8,63955,117.11,20.06,11.34,77.67,66.3,0.16,17.1,0.04,21.34,5.98,20.15,24.81,19.56,12.62
2024-06-28,IDFCFIRSTB,Banks - Regional,Financial Services,82.16,58087,19.42,1.8,2.59,5.03,5.26,0,9.12,1.58,2.11,2.46,3.09,-7.58,8.97,6.49
2024-06-28,RVNL,Engineering & Construction,Industrials,416.6,86862,55.17,9.93,3.97,29.4,34.51,0.51,18,0.69,8.86,5.07,238.7,129.47,64.73,10.87
2024-06-28,BHARATFORG,Auto Parts,Consumer Cyclical,1670.35,77770,81.76,10.85,4.96,46.73,29.94,0.49,13.27,1.11,55.56,1.02,104.54,34.89,47.87,6.48
