date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-28,INDOCO,Drug Manufacturers - Specialty & Generic,Healthcare,324.8,2994,30.4,2.7,1.67,19.1,13.66,0.69,8.87,0.61,9.95,-0.99,-0.41,-17.81,-1.17,4.04
2024-06-28,BAJAJCON,Household & Personal Products,Consumer Defensive,263.93,3769,24.24,4.54,3.89,32.4,18.78,3.03,18.71,0.01,17.32,1.62,36.29,20.19,24.47,12.91
2024-06-28,TVSSRICHAK,Auto Parts,Consumer Cyclical,4270.95,3271,30.29,2.94,1.12,14.35,13.9,0.75,9.71,0.76,11.95,0.79,45.99,-5.6,9.29,2.46
2024-06-28,CARTRADE,Auto & Truck Dealerships,Consumer Cyclical,779.65,3656,255.59,1.77,7.46,230.31,47.74,0,0.69,0.05,1.85,-4.69,62.73,9.24,22.19,-11.43
2024-06-28,SBCL,Metal Fabrication,Industrials,581.35,3349,39.74,9.81,6.58,48.88,26.04,0.24,24.67,0.12,26.14,6.09,-6.63,5.59,11.94,16.46
2024-06-28,FIEMIND,Auto Parts,Consumer Cyclical,1277.85,3364,20.3,3.79,1.67,24.93,11.18,1.17,18.68,0.03,22.41,1.1,46.72,21.83,12.81,6.66
2024-06-28,PRAKASH,Steel,Basic Materials,183.94,3295,9.46,1.09,0.9,5.48,6.56,0,11.51,0.12,10.37,0.11,149.92,10.01,10.64,11.99
2024-06-28,DELTACORP,Resorts & Casinos,Consumer Cyclical,129.8,3476,14.23,1.38,3.76,20.41,8.49,0.96,9.7,0.02,8.8,-2.21,-49.09,-11.07,17.31,12.97
2024-06-28,RAJRATAN,Steel,Basic Materials,589.8,2995,41.68,6.08,3.36,28.36,24.28,0.34,14.58,0.39,18.02,-1.48,-29.26,-24.42,1.53,11.06
2024-06-28,IDEAFORGE,Computer Hardware,Technology,781.35,3351,72.55,5.07,10.67,44.07,37.22,0,6.85,0.02,5.09,1.8,-9999999999,-5.88,13.63,14.53
2024-06-28,MAHLOG,Integrated Freight & Logistics,Industrials,525.05,3783,-69.09,7.68,0.69,16.67,18.13,0.48,-11.12,1.5,1.94,0.22,38.72,35.37,28.42,21.81
2024-06-28,PFOCUS,Entertainment,Communication Services,122.46,3672,-9.08,7.12,0.93,-112.91,15.16,0,-78.4,9.42,-5.13,0.03,7.33,15.37,24.7,15.91
2024-06-28,GREAVESCOT,Specialty Industrial Machinery,Industrials,131.41,3049,-22.54,2.12,1.16,-19.92,56.77,0.68,-9.39,0.06,0.4,0.08,-3.62,-13.52,3.8,4.38
2024-06-28,DOLLAR,Apparel Manufacturing,Consumer Cyclical,540.95,3069,33.58,3.93,1.95,-119.99,20.97,0.55,11.7,0.41,16.46,0.45,40.16,17.04,5.08,-0.59
2024-06-28,UFLEX,Packaging & Containers,Consumer Cyclical,519.7,3753,-5.43,0.52,0.28,4.55,15.03,0.58,-9.56,0.96,21.19,0.02,25.67,7.62,28.57,25.67
2024-06-28,UNITECH,Real Estate - Diversified,Real Estate,11.18,2926,-0.88,-0.7,6.13,193.78,-39.67,0,79.31,-1.72,16.07,-0.05,671.03,66.87,0.27,10.15
2024-06-28,BFUTILITIE,Utilities - Renewable,Utilities,897.8,,,,,,,,,,,,147.16,51.78,16.3,-2.42
