date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-26,RELIANCE,Oil & Gas Refining & Marketing,Energy,3028.05,2048808,29.43,2.58,2.27,12.9,13.57,0.3,8.77,0.44,8.2,6.73,31.41,17.14,1.9,3.26
2024-06-26,TCS,Information Technology Services,Technology,3855.85,1395081,30.63,15.42,5.79,31.46,20.78,1.8,50.73,0.09,59.22,3.3,20.6,1.65,-0.53,0.23
2024-06-26,HDFCBANK,Banks - Regional,Financial Services,1701.5,,,,,,,,,,,,2.59,-0.45,17.52,11.38
2024-06-26,ICICIBANK,Banks - Regional,Financial Services,1218,,,,,,,,,,,,30.11,22.22,11.41,7.81
2024-06-26,BHARTIARTL,Telecom Services,Communication Services,1459.5,882160,114.02,10.76,5.88,11.18,14.79,0.47,9.1,2.63,12.67,-9.39,68.75,41.4,18.79,5.43
2024-06-26,SBIN,Banks - Regional,Financial Services,845.35,754443,11.25,1.82,2.25,34.88,3.02,1.34,16.17,1.54,1.67,0.55,49.33,31.66,12.36,1.4
2024-06-26,INFY,Information Technology Services,Technology,1540.7,637843,2027.24,604.07,343.63,2026.18,1449.47,0.03,29.99,0.09,32.42,287.87,20.45,-0.14,2.85,4.71
2024-06-26,LICI,Insurance - Life,Financial Services,1001.4,633386,17.6,7.65,0.79,24.98,16.4,0,43.5,0,14.99,-1.46,62.35,20.29,9.31,-3.34
2024-06-26,ITC,Tobacco,Consumer Defensive,423.95,529290,25.88,7.1,7.53,30.81,18.42,3.76,27.46,0,31.28,4.35,-4.75,-8.26,-1.03,-1.75
2024-06-26,HINDUNILVR,Household & Personal Products,Consumer Defensive,2445.6,574617,55.91,11.22,9.43,37.15,37.18,1.64,20.07,0.03,20.49,35.97,-7.76,-8.2,8,2.56
2024-06-26,LT,Engineering & Construction,Industrials,3602.95,495287,38.38,5.74,2.24,27.11,23.76,0.85,15.12,1.35,12.15,1.47,50.87,2.18,-4.28,-1.34
2024-06-26,BAJFINANCE,Credit Services,Financial Services,7158.2,442383,30.33,5.77,12.89,-6.08,17.17,0.41,18.84,3.04,6.37,1.24,1.98,-2.31,-1.2,3.81
2024-06-26,HCLTECH,Information Technology Services,Technology,1443.7,390953,24.95,5.73,3.56,17.42,15.08,3.6,23,0.08,25.99,4.45,23.39,-1.53,-6.47,6.68
2024-06-26,MARUTI,Auto Manufacturers,Consumer Cyclical,12198.25,383517,28.43,4.48,2.84,22.83,16.66,0.71,15.75,0,14.84,0.45,28.93,18.4,-3.19,-5.48
2024-06-26,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1521.15,364975,38.11,5.73,7.64,30.08,25.99,0.79,15.04,0.05,15.23,2.92,51.84,20.78,-6.13,3.76
2024-06-26,ADANIENT,Thermal Coal,Energy,3170.5,361438,116.39,9.25,3.75,35.05,34.04,0.04,8.29,1.67,7.53,4.64,38.79,11.29,-0.83,-3.6
2024-06-26,KOTAKBANK,Banks - Regional,Financial Services,1798.15,357458,19.66,2.75,4.99,22.79,7.74,0.09,14.01,0.58,3.42,0.89,-2.52,-5.76,0.71,5.09
2024-06-26,TITAN,Luxury Goods,Consumer Cyclical,3372.75,299184,85.65,31.85,6.4,176.51,53.95,0.3,37.22,1.65,31.34,11.32,13.34,-8.24,-11.29,-0.9
2024-06-26,ONGC,Oil & Gas Integrated,Energy,267.75,336837,6.84,1,0.52,3.39,4.5,3.83,14.6,0.45,14.29,0.2,69.62,30.58,-0.11,-3.57
