Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
DBCORP,2020-03-25,75.85,2021-02-03,92.2,16.35,21.56,315,24.98
PETRONET,2020-03-25,175.65,2023-03-08,230.25,54.6,31.08,1078,10.52
NATCOPHARM,2020-03-25,465.75,2020-07-23,728.95,263.2,56.51,120,171.88
BLS,2020-03-25,7.5,2020-07-27,20.94,13.44,179.2,124,527.48
CUMMINSIND,2020-03-25,369.75,2020-12-09,590.75,221,59.77,259,84.23
KPITTECH,2020-03-25,36.1,2020-09-17,104.5,68.4,189.47,176,392.93
APARINDS,2020-03-25,249.35,2020-12-11,389.7,140.35,56.29,261,78.72
PAGEIND,2020-03-25,16609.6,2020-12-04,24013.35,7403.75,44.58,254,64.06
GANESHHOUC,2020-03-25,18.25,2020-12-03,35.45,17.2,94.25,253,135.97
COALINDIA,2020-03-26,123.25,2021-02-25,156.1,32.85,26.65,336,28.95
BLUESTARCO,2020-03-27,244,2021-02-11,413.3,169.3,69.39,321,78.9
TIINDIA,2020-03-30,281.6,2020-08-13,594.2,312.6,111.01,136,297.93
SUNTV,2020-03-30,270.75,2020-12-15,502.85,232.1,85.72,260,120.34
HEROMOTOCO,2020-03-30,1553.5,2020-07-20,2860.15,1306.65,84.11,112,274.11
EICHERMOT,2020-03-30,1333.31,2020-11-11,2326.7,993.39,74.51,226,120.34
CGPOWER,2020-03-30,4.9,2020-08-21,16.85,11.95,243.88,144,618.17
SUPREMEIND,2020-04-01,839.5,2020-09-07,1421.6,582.1,69.34,159,159.18
HCLTECH,2020-04-03,405.8,2020-07-16,627.75,221.95,54.69,104,191.94
SCHAEFFLER,2020-04-07,704.94,2020-12-28,883.8,178.86,25.37,265,34.94
PERSISTENT,2020-04-24,234.15,2020-07-15,382.33,148.18,63.28,82,281.67
ABB,2020-05-15,822.7,2020-12-17,1232.7,410,49.84,216,84.22
RATNAMANI,2020-05-19,556.83,2020-11-13,921.6,364.77,65.51,178,134.33
ABBOTINDIA,2021-01-18,14748.65,2021-07-06,17227.25,2478.6,16.81,169,36.31
BAYERCROP,2021-03-25,4980.9,2021-08-04,6018,1037.1,20.82,132,57.57
SANOFI,2021-04-26,7434.1,2021-08-05,8807.7,1373.6,18.48,101,66.78
HEROMOTOCO,2021-08-20,2697.5,2022-08-17,2913.45,215.95,8.01,362,8.08
MGL,2021-10-21,1019.8,2023-03-06,985.95,-33.85,-3.32,501,-2.42
IGL,2021-10-22,476.1,2022-11-28,443.55,-32.55,-6.84,402,-6.21
BAYERCROP,2021-10-25,4975.6,2022-08-05,5482.05,506.45,10.18,284,13.08
AKZOINDIA,2021-10-25,2107.7,2022-09-15,2137.5,29.8,1.41,325,1.58
HDFCAMC,2021-10-27,2701.25,2023-06-30,2295.65,-405.6,-15.02,611,-8.97
COLPAL,2021-11-18,1476.9,2022-08-30,1674.95,198.05,13.41,285,17.17
BAJAJ-AUTO,2021-11-22,3444.2,2022-07-18,3984.05,539.85,15.67,238,24.03
GILLETTE,2021-12-03,5390.15,2023-07-12,5413.55,23.4,0.43,586,0.27
COROMANDEL,2021-12-20,717.55,2022-05-17,942.75,225.2,31.38,148,77.39
JYOTHYLAB,2021-12-27,136.35,2022-07-15,168.8,32.45,23.8,200,43.44
SANOFI,2022-01-19,7432.6,2023-05-25,6775.4,-657.2,-8.84,491,-6.57
EMAMILTD,2022-01-20,476.5,2023-08-08,492.55,16.05,3.37,565,2.18
DRREDDY,2022-01-21,4496.15,2023-03-31,4622.75,126.6,2.82,434,2.37
CASTROLIND,2022-01-24,117.85,2022-11-16,129.8,11.95,10.14,296,12.5
LALPATHLAB,2022-02-14,2698.85,2023-09-29,2524.35,-174.5,-6.47,592,-3.99
HINDUNILVR,2022-02-14,2228.55,2022-08-05,2645.4,416.85,18.7,172,39.68
BERGEPAINT,2022-02-14,583.17,2023-06-21,569.58,-13.59,-2.33,492,-1.73
3MINDIA,2022-02-14,22585.8,2023-05-31,25153.45,2567.65,11.37,471,8.81
NAM-INDIA,2022-02-14,318,2023-07-11,293.25,-24.75,-7.78,512,-5.55
SUNTV,2022-02-21,472.7,2022-10-07,540.5,67.8,14.34,228,22.96
AJANTPHARM,2022-02-22,1240.07,2023-06-07,1449.9,209.83,16.92,470,13.14
NBCC,2022-02-22,38.9,2023-05-24,43.3,4.4,11.31,456,9.05
DBCORP,2022-02-24,79.3,2022-09-06,111.1,31.8,40.1,194,75.45
OFSS,2022-02-24,3329.6,2023-04-24,3417.35,87.75,2.64,424,2.27
EICHERMOT,2022-03-04,2339.25,2022-07-07,2944.2,604.95,25.86,125,75.51
ASIANPAINT,2022-03-04,2738.15,2023-07-24,3543.7,805.55,29.42,507,21.18
NESTLEIND,2022-03-08,1726.33,2022-10-20,2006.11,279.78,16.21,226,26.18
