Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
HEROMOTOCO,2019-03-26,2574.45,2020-07-20,2860.15,285.7,11.1,482,8.41
NATCOPHARM,2019-03-27,558.55,2020-01-01,618.3,59.75,10.7,280,13.95
BSOFT,2019-04-30,93.6,2020-02-20,98.6,5,5.34,296,6.58
JYOTHYLAB,2019-05-07,169.15,2021-01-13,159.15,-10,-5.91,617,-3.5
GLAXO,2019-05-08,1270,2019-10-25,1516.65,246.65,19.42,170,41.7
SANOFI,2019-05-10,5413.9,2019-10-29,6639.15,1225.25,22.63,172,48.02
WSTCSTPAPR,2019-05-13,221.15,2021-02-18,219.15,-2,-0.9,647,-0.51
GPIL,2019-05-13,48.21,2020-08-12,65.04,16.83,34.91,457,27.88
EICHERMOT,2019-05-13,1875.18,2019-11-25,2326.13,450.95,24.05,196,44.79
TATAELXSI,2019-05-13,845.45,2020-02-04,1030.35,184.9,21.87,267,29.9
ELECON,2019-05-14,48.65,2020-12-29,42.65,-6,-12.33,595,-7.56
BASF,2019-05-15,1191.35,2020-07-02,1237.45,46.1,3.87,414,3.41
SCHAEFFLER,2019-05-16,957.01,2020-12-28,883.8,-73.21,-7.65,592,-4.72
ECLERX,2019-05-16,621.5,2020-08-21,491.13,-130.37,-20.98,463,-16.54
SUPREMEIND,2019-05-17,950.7,2019-09-26,1209.75,259.05,27.25,132,75.35
PAGEIND,2019-05-27,19692.1,2019-10-31,25750.9,6058.8,30.77,157,71.54
EMAMILTD,2019-05-28,341.75,2020-08-17,352,10.25,3,447,2.45
BAYERCROP,2019-06-04,3701.7,2020-02-04,4441.65,739.95,19.99,245,29.78
OFSS,2019-06-06,3338.9,2020-07-20,3191.35,-147.55,-4.42,410,-3.93
GANESHHOUC,2019-06-17,50.1,2020-12-03,35.45,-14.65,-29.24,535,-19.95
CGPOWER,2019-06-18,28.5,2020-08-21,16.85,-11.65,-40.88,430,-34.7
AJANTPHARM,2019-06-19,615.07,2020-01-14,719.13,104.06,16.92,209,29.55
CASTROLIND,2019-06-27,135.9,2020-02-14,158.25,22.35,16.45,232,25.88
SUNTV,2019-06-28,504.9,2020-12-15,502.85,-2.05,-0.41,536,-0.28
BLS,2019-07-05,22.19,2020-07-27,20.94,-1.25,-5.63,388,-5.3
CDSL,2019-07-10,206.9,2020-01-02,252.5,45.6,22.04,176,45.71
MGL,2019-07-19,777.2,2019-11-19,1044.8,267.6,34.43,123,102.17
CRISIL,2019-07-19,1350.3,2019-12-04,1667.65,317.35,23.5,138,62.16
APARINDS,2019-07-19,527.6,2020-12-11,389.7,-137.9,-26.14,511,-18.67
ITC,2019-07-22,264.4,2020-12-10,212.7,-51.7,-19.55,507,-14.07
NBCC,2019-07-25,48,2020-12-11,29.65,-18.35,-38.23,505,-27.63
COALINDIA,2019-07-25,209.05,2021-02-25,156.1,-52.95,-25.33,581,-15.91
PERSISTENT,2019-07-29,267.48,2019-12-06,345.2,77.72,29.06,130,81.59
COROMANDEL,2019-07-30,362.65,2019-12-09,509.35,146.7,40.45,132,111.85
BAJAJ-AUTO,2019-07-30,2463.85,2019-10-17,3111.5,647.65,26.29,79,121.47
DBCORP,2019-08-01,155.35,2021-02-03,92.2,-63.15,-40.65,552,-26.88
CUMMINSIND,2019-08-07,652.5,2020-12-09,590.75,-61.75,-9.46,490,-7.05
NMDC,2019-08-21,66.37,2019-12-18,92.2,25.83,38.92,119,119.38
LTIM,2019-09-23,1470.1,2020-01-14,1877.95,407.85,27.74,113,89.6
ZENSARTECH,2019-10-10,200.75,2020-09-23,200.7,-0.05,-0.02,349,-0.02
INFY,2019-10-24,635.35,2020-07-15,830.95,195.6,30.79,265,42.41
LTTS,2019-11-14,1413.1,2020-10-13,1809.95,396.85,28.08,334,30.69
CAPLIPOINT,2019-11-21,306.6,2020-07-31,431.95,125.35,40.88,253,58.98
MARICO,2019-12-16,329.65,2020-08-19,373.5,43.85,13.3,247,19.65
GILLETTE,2020-01-20,6395.7,2020-12-11,5909.65,-486.05,-7.6,326,-8.51
BEL,2020-02-14,27.68,2020-12-03,38.33,10.65,38.48,293,47.94
ABB,2020-02-24,1191.95,2020-12-17,1232.7,40.75,3.42,297,4.2
KPITTECH,2020-03-04,78.65,2020-09-17,104.5,25.85,32.87,197,60.9
SKFINDIA,2020-03-06,1794,2021-01-07,1835.3,41.3,2.3,307,2.73
HAL,2020-03-06,310.8,2020-07-06,476.95,166.15,53.46,122,159.94
PETRONET,2020-03-09,222.35,2023-03-08,230.25,7.9,3.55,1094,1.18
TCS,2020-03-09,1972.35,2020-07-28,2309.75,337.4,17.11,141,44.29
KEI,2020-03-12,392.55,2020-12-30,490.1,97.55,24.85,293,30.96
HCLTECH,2020-03-12,493.35,2020-07-16,627.75,134.4,27.24,126,78.91
NMDC,2020-03-12,55.38,2020-12-07,84.05,28.67,51.77,270,69.99
BAJAJ-AUTO,2020-03-12,2338.9,2020-11-27,3173.55,834.65,35.69,260,50.1
3MINDIA,2020-03-17,18070.95,2020-12-15,22982.75,4911.8,27.18,273,36.34
BLUESTARCO,2020-03-18,318.08,2021-02-11,413.3,95.22,29.94,330,33.12
GRINDWELL,2020-03-18,505.15,2020-12-03,632.75,127.6,25.26,260,35.46
SUPREMEIND,2020-03-18,987.8,2020-09-07,1421.6,433.8,43.92,173,92.66
MCDOWELL-N,2020-03-18,505.1,2021-01-11,641.9,136.8,27.08,299,33.06
LTIM,2020-03-18,1376.45,2020-07-08,2053.75,677.3,49.21,112,160.37
EICHERMOT,2020-03-19,1504.65,2020-11-11,2326.7,822.05,54.63,237,84.13
TATAELXSI,2020-03-19,575.85,2020-08-25,1093.1,517.25,89.82,159,206.19
PGHH,2020-03-19,9507,2020-12-11,11333.9,1826.9,19.22,267,26.27
TANLA,2020-03-20,41.9,2020-07-15,87.55,45.65,108.95,117,339.89
NATCOPHARM,2020-03-23,473.8,2020-07-23,728.95,255.15,53.85,122,161.11
BSOFT,2020-03-23,51.8,2020-07-09,101.85,50.05,96.62,108,326.54
MGL,2020-03-23,699.55,2021-01-04,1083.35,383.8,54.86,287,69.77
CDSL,2020-03-23,185.7,2020-07-07,298.9,113.2,60.96,106,209.91
GLAXO,2020-03-23,1101.85,2020-09-14,1728,626.15,56.83,175,118.53
CASTROLIND,2020-03-23,94.65,2021-03-01,135.65,41,43.32,343,46.1
COLPAL,2020-03-23,1095,2020-11-23,1567.1,472.1,43.11,245,64.23
TIINDIA,2020-03-24,302.2,2020-08-13,594.2,292,96.62,142,248.35
NAM-INDIA,2020-03-24,214.9,2021-01-15,332.05,117.15,54.51,297,66.99
PAGEIND,2020-03-25,16609.6,2020-12-04,24013.35,7403.75,44.58,254,64.06
PERSISTENT,2020-04-24,234.15,2020-07-15,382.33,148.18,63.28,82,281.67
RATNAMANI,2020-05-19,556.83,2020-11-13,921.6,364.77,65.51,178,134.33
