Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
BAYERCROP,2021-03-25,4980.9,2021-08-04,6018,1037.1,20.82,132,57.57
RITES,2021-04-12,235.75,2021-07-08,288.9,53.15,22.55,87,94.61
GODFRYPHLP,2021-04-19,843.6,2021-07-12,1031.15,187.55,22.23,84,96.59
SANOFI,2021-04-26,7434.1,2021-08-05,8807.7,1373.6,18.48,101,66.78
PETRONET,2021-08-09,213.3,2023-03-08,230.25,16.95,7.95,576,5.04
IGL,2021-10-22,476.1,2022-11-28,443.55,-32.55,-6.84,402,-6.21
BAYERCROP,2021-10-25,4975.6,2022-08-05,5482.05,506.45,10.18,284,13.08
AIAENG,2021-12-20,1800.8,2022-07-04,2369.15,568.35,31.56,196,58.77
COROMANDEL,2021-12-20,717.55,2022-05-17,942.75,225.2,31.38,148,77.39
SANOFI,2022-01-19,7432.6,2023-05-25,6775.4,-657.2,-8.84,491,-6.57
CASTROLIND,2022-01-24,117.85,2022-11-16,129.8,11.95,10.14,296,12.5
PFIZER,2022-01-24,4590.7,2022-11-30,4599.4,8.7,0.19,310,0.22
3MINDIA,2022-02-14,22585.8,2023-05-31,25153.45,2567.65,11.37,471,8.81
NAM-INDIA,2022-02-14,318,2023-07-11,293.25,-24.75,-7.78,512,-5.55
SUNTV,2022-02-21,472.7,2022-10-07,540.5,67.8,14.34,228,22.96
RITES,2022-02-28,241.65,2022-08-29,298.2,56.55,23.4,182,46.93
GSPL,2022-03-07,264.35,2023-02-28,282.85,18.5,7,358,7.14
GUJGASLTD,2022-03-22,491.9,2024-01-05,506.75,14.85,3.02,654,1.69
NATCOPHARM,2022-03-31,756.15,2023-06-23,674,-82.15,-10.86,449,-8.83
COFORGE,2022-04-19,4027.3,2023-01-30,4418.65,391.35,9.72,286,12.4
BASF,2022-05-06,2590.8,2022-08-18,3287,696.2,26.87,104,94.3
BSOFT,2022-05-10,376.4,2023-06-01,343.85,-32.55,-8.65,387,-8.16
CYIENT,2022-05-12,785.45,2023-02-06,922.6,137.15,17.46,270,23.6
LTTS,2022-05-25,3356.55,2023-08-17,4303.1,946.55,28.2,449,22.92
CARBORUNIV,2022-06-06,692.55,2023-01-10,931.9,239.35,34.56,218,57.86
DEEPAKNTR,2022-06-08,1798.45,2023-09-05,2280.9,482.45,26.83,454,21.57
SUVENPHAR,2022-06-13,475.1,2023-08-10,502.25,27.15,5.71,423,4.93
JBCHEPHARM,2022-06-13,753.88,2022-08-05,926.4,172.52,22.88,53,157.57
GLAXO,2022-07-27,1451.4,2023-08-11,1441.6,-9.8,-0.68,380,-0.65
SONACOMS,2022-08-18,518.1,2023-07-19,553.95,35.85,6.92,335,7.54
PFIZER,2023-01-24,4075.05,2023-11-22,4095,19.95,0.49,302,0.59
BASF,2023-02-03,2346.5,2023-11-09,2846,499.5,21.29,279,27.85
BAYERCROP,2023-02-28,4279.95,2023-09-05,5240.5,960.55,22.44,189,43.34
COROMANDEL,2023-03-20,852.5,2023-07-31,1029.45,176.95,20.76,133,56.97
PETRONET,2023-10-30,201.7,2024-01-23,259.9,58.2,28.85,85,123.89
TIMKEN,2024-02-12,2820.05,2024-05-14,3732.7,912.65,32.36,92,128.38
CARBORUNIV,2024-02-27,1037,2024-04-01,1298.35,261.35,25.2,34,270.53
SKFINDIA,2024-03-11,4177.6,2024-05-16,5659.5,1481.9,35.47,66,196.16
GRINDWELL,2024-03-12,1946.2,2024-05-29,2590.55,644.35,33.11,78,154.94
