Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,AAVAS,1907.45,1533.65,1548.25,1540.49
SELL,BIKAJI,704.15,524.8,537.06,553.92
SELL,BLUEDART,7806.55,6622.69,6609.92,6920.97
SELL,BLUESTARCO,1681.15,1109.78,1435.78,1472.89
SELL,CIEINDIA,581,481.58,492.63,506.86
SELL,CHAMBLFERT,427.5,340,384.42,381.48
SELL,CHOLAHLDNG,1243.9,1075.47,1091.89,1077.04
SELL,CAMS,3626.35,2815.31,3200.69,3263.11
SELL,CROMPTON,422.2,304.4,330.87,369.88
SELL,ELECON,1338.4,944.41,1060.05,1070.33
SELL,ERIS,1014.75,873.91,868.73,875.18
SELL,EXIDEIND,540.7,329.07,437.86,468.19
SELL,GILLETTE,7784.2,6397.06,6660.07,6783.35
SELL,GPIL,1051.35,726.84,864.83,895.83
SELL,IEX,173.61,142.78,148.82,149.03
SELL,IOB,67.86,51.06,64,63.73
SELL,JBCHEPHARM,1893.45,1578.79,1748.2,1688.72
SELL,JWL,694.9,369.36,456.33,537.88
SELL,KAYNES,3636.15,2582.04,2780.22,3057.5
SELL,KEC,827.85,665.05,733.05,732.29
SELL,MOTILALOFS,670.35,371.86,544.55,550.31
SELL,NATCOPHARM,1168.9,890.9,987.23,975.7
SELL,NBCC,157.67,98.22,133.33,135.54
SELL,NAM-INDIA,648.95,456.05,559.23,568.46
SELL,POLYMED,1860.1,1513.17,1631.05,1689.54
SELL,SANOFI,10072.65,8042.66,8397.34,8480.5
SELL,SUNTECK,579.15,439.23,437.13,445.98
SELL,TEJASNET,1364.4,865.77,1014.07,1122.2
SELL,UTIAMC,989.65,841.63,902.07,884.39
SELL,USHAMART,378.25,327.76,344.9,336.35
SELL,VGUARD,404.1,315.58,349.94,359.42
SELL,VTL,477.6,407.24,443.6,433.45
SELL,VARROC,679.6,508.43,528.51,541.9
SELL,WHIRLPOOL,1788.55,1461.3,1444.33,1471.12
SELL,ZENSARTECH,699.45,558.16,601.97,598.66
