Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABCAPITAL,234.22,185.46,212.73,213.74
SELL,ABFRL,328.25,233.23,257.93,276.93
SELL,ASHOKLEY,238.04,179.85,193.56,208.62
SELL,BHARATFORG,1631.6,1182.76,1327.25,1459.77
SELL,COROMANDEL,1474.95,1145.7,1192.07,1242.66
SELL,DIXON,10317.5,6481.54,8326.51,8844.94
SELL,ENDURANCE,2502.1,1801.98,2001.1,2119.52
SELL,ESCORTS,4122.6,3125.3,3398.22,3677.11
SELL,FEDERALBNK,173.86,150.44,156.21,155.09
SELL,GLAXO,2625.65,1873.1,2111.78,2301.18
SELL,GRINDWELL,2683.85,2168.23,2191.17,2340.39
SELL,HONAUT,54515,39938.02,46142.79,49693.31
SELL,JSL,823.65,581.45,704.84,705.77
SELL,KEI,4658.95,3157.89,3884.72,3999.87
SELL,LICHSGFIN,715.4,551.44,634.17,616.33
SELL,MUTHOOTFIN,1778.95,1422.67,1642.44,1629.37
SELL,OBEROIRLTY,1918.45,1365.57,1578.79,1715.06
SELL,PHOENIXLTD,3408.85,2416.81,3008.12,3014.43
SELL,POLYCAB,7002,5231.63,5879.38,6371.96
SELL,PRESTIGE,1847.75,1075.71,1422.93,1550.73
SELL,SUNTV,778.95,639.55,638.99,650.76
SELL,SUPREMEIND,6160.7,4393.05,4852.76,5307.13
SELL,SUZLON,50.28,37.45,42.38,44.18
SELL,TORNTPOWER,1609,1038.48,1428.76,1369.7
SELL,TIINDIA,4085.45,3446.18,3663.69,3607.64
SELL,UNOMINDA,996.9,669.04,756.66,805.14
SELL,ZFCVINDIA,17665.1,15138.95,14333.94,14817.48
