Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,BAJAJ-AUTO,9602.25,6923.63,8972.25,9001.28
SELL,COLPAL,2960.05,2382.64,2734.23,2737.5
SELL,COROMANDEL,1369.8,1143.91,1184.61,1258.58
SELL,EMAMILTD,699,503.39,495.15,554.93
SELL,GILLETTE,7490.5,6383.18,6713.05,6979.81
SELL,HEROMOTOCO,5658.5,3966.02,4729.47,5079.17
SELL,LALPATHLAB,2774.75,2425.85,2389.79,2553.08
SELL,MARICO,645.5,541.79,546.03,600.35
SELL,MCDOWELL-N,1298.5,1094.23,1170.97,1189.36
SELL,PIDILITIND,3166.2,2676.6,2973.43,2989.4
SELL,SUNTV,748.25,638.48,638.86,669.31
