Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,BAJAJCON,269.57,230.72,241.48,248.09
SELL,BEPL,136.54,97.33,100.58,101.36
SELL,CHOICEIN,378.55,259.96,337.70,358.38
SELL,DHANUKA,1688.50,1064.57,1352.01,1429.37
SELL,GRINFRA,1757.15,1271.43,1484.25,1625.87
SELL,GRAVITA,1533.45,979.68,1056.68,1189.08
SELL,IIFLSEC,227.62,134.29,171.27,204.92
SELL,IBREALEST,156.41,103.47,132.48,135.87
SELL,INGERRAND,4795.55,3451.69,4292.23,4510.23
SELL,JTEKTINDIA,205.92,154.59,172.74,175.48
SELL,KIRLOSENG,1377.80,774.74,1128.93,1271.96
SELL,NOCIL,291.75,253.08,264.23,264.13
SELL,NAVA,739.20,470.58,536.16,586.52
SELL,ORIENTELEC,250.92,218.59,224.48,236.07
SELL,PARADEEP,85.32,71.03,70.86,73.10
SELL,PRICOLLTD,496.45,379.69,437.81,452.43
SELL,RALLIS,333.20,250.40,279.37,290.22
SELL,REDTAPE,791,578.94,732.60,751.98
SELL,SHILPAMED,580.05,409.12,517.85,515.31
SELL,SUDARSCHEM,885.95,578.35,749.39,805.61
SELL,SPLPETRO,797.65,599.20,685.68,704.46
SELL,TARC,197.35,135.30,164.76,176.51
SELL,TIMETECHNO,337.30,204.12,278.12,285.63
SELL,UFLEX,516.65,446.83,444.60,450.17
SELL,VMART,2836.50,2052.83,2287.20,2500.15
