Symbol,Buy Date,Buy Price,Quantity,Current Date,CMP,Days,Unrealized Gain,Unrealized Gain %,CAGR %
PDMJEPAPER,2024-06-26,111.99,142,2024-06-26,111.99,0,0,0,10
ZUARIIND,2024-06-26,374.35,42,2024-06-26,374.35,0,0,0,10
KSL,2024-06-26,917.6,17,2024-06-26,917.6,0,0,0,10
OIL,2024-06-26,700.9,22,2024-06-26,700.9,0,0,0,10
NDL,2024-06-26,47.99,333,2024-06-26,47.99,0,0,0,10
KIRLOSIND,2024-06-26,6077,2,2024-06-26,6077,0,0,0,10
ASHOKA,2024-06-26,236.51,67,2024-06-26,236.51,0,0,0,10
NAVA,2024-06-26,739.8,21,2024-06-26,739.8,0,0,0,10
MRPL,2024-06-26,218.57,73,2024-06-26,218.57,0,0,0,10
SMCGLOBAL,2024-06-26,164.85,97,2024-06-26,164.85,0,0,0,10
ELECTCAST,2024-06-26,176.85,90,2024-06-26,176.85,0,0,0,10
KCP,2024-06-26,243.52,65,2024-06-26,243.52,0,0,0,10
IMFA,2024-06-26,755.95,21,2024-06-26,755.95,0,0,0,10
DLINKINDIA,2024-06-26,469.8,34,2024-06-26,469.8,0,0,0,10
GOACARBON,2024-06-26,829.85,19,2024-06-26,829.85,0,0,0,10
MAHABANK,2024-06-26,64.66,247,2024-06-26,64.66,0,0,0,10
NFL,2024-06-26,130.99,122,2024-06-26,130.99,0,0,0,10
GIPCL,2024-06-26,246.74,64,2024-06-26,246.74,0,0,0,10
NATIONALUM,2024-06-26,186.9,85,2024-06-26,186.9,0,0,0,10
SANDESH,2024-06-26,1590.3,10,2024-06-26,1590.3,0,0,0,10
MANINDS,2024-06-26,403.65,39,2024-06-26,403.65,0,0,0,10
PETRONET,2024-06-26,314.75,50,2024-06-26,314.75,0,0,0,10
CHAMBLFERT,2024-06-26,520.55,30,2024-06-26,520.55,0,0,0,10
CENTENKA,2024-06-26,603.85,26,2024-06-26,603.85,0,0,0,10
ARVIND,2024-06-26,361.2,44,2024-06-26,361.2,0,0,0,10
