Symbol,Buy Date,Buy Price,Buy Quantity,Sell Date,Sell Price,Sell Quantity,Gain,Gain %,Days,CAGR %
NAHARINDUS,2022-06-01,137.30,291,2023-06-01,106.20,291,-9050.10,-22.65,365,-22.65
UFLEX,2022-06-01,616.05,64,2023-06-01,411.65,64,-13081.60,-33.18,365,-33.18
SESHAPAPER,2022-06-01,187.15,213,2023-06-01,278.95,213,19553.40,49.05,365,49.05
CHENNPETRO,2022-06-01,294.90,135,2024-06-05,891.90,135,80595,202.44,735,73.26
GSFC,2022-06-01,170.55,234,2024-06-05,194.90,234,5697.90,14.28,735,6.85
MANAKSIA,2022-06-01,88.05,454,2024-06-05,99.65,454,5266.40,13.17,735,6.34
MAGADSUGAR,2022-06-01,338.45,118,2024-06-05,630.80,118,34497.30,86.38,735,36.23
POCL,2023-06-01,402.90,99,2024-06-05,648.80,99,24344.10,61.03,370,60
JINDALSAW,2023-06-01,246.35,162,2024-06-05,508.40,162,42452.10,106.37,370,104.36
SUNFLAG,2023-06-01,143.50,278,2024-06-05,200.30,278,15790.40,39.58,370,38.95
NCC,2023-06-01,123,325,2024-06-05,289.75,325,54193.75,135.57,370,132.86
PATELENG,2023-06-01,25.75,1553,2024-06-05,56.90,1553,48375.95,120.97,370,118.62
BANSWRAS,2023-06-01,163.40,244,2024-06-05,141.15,244,-5429,-13.62,370,-13.45
NAVA,2023-06-01,239.90,166,2024-06-05,513.05,166,45342.90,113.86,370,111.67
UNIVCABLES,2023-06-01,370.95,107,2024-06-05,629.90,107,27707.65,69.81,370,68.60
ARVIND,2023-06-01,125.80,317,2024-06-05,346.65,317,70009.45,175.56,370,171.81
GICRE,2023-06-01,185.75,215,2024-06-05,345.15,215,34271,85.81,370,84.27
UJJIVANSFB,2023-06-01,36.05,1109,2024-06-05,47.40,1109,12587.15,31.48,370,31
NITINSPIN,2023-06-01,249.50,160,2024-06-05,314.55,160,10408,26.07,370,25.68
MANGCHEFER,2023-06-01,92.45,432,2024-06-05,103.80,432,4903.20,12.28,370,12.10
GSPL,2023-06-01,304.30,131,2024-06-05,277.55,131,-3504.25,-8.79,370,-8.68
MAHSEAMLES,2023-06-01,447.30,89,2024-06-05,623.65,89,15695.15,39.43,370,38.80
JPOLYINVST,2023-06-01,578.05,69,2024-06-05,730.45,69,10515.60,26.36,370,25.97
