Symbol,Buy Date,Buy Price,Quantity,Current Date,CMP,Days,Unrealized Gain,Unrealized Gain %,CAGR %
PDMJEPAPER,2024-06-28,111.84,55,2024-06-30,111.84,2,0,0,0
ZUARIIND,2024-06-28,397.4,15,2024-06-30,397.4,2,0,0,0
OIL,2024-06-28,723.05,8,2024-06-30,723.05,2,0,0,0
KSL,2024-06-28,931.45,6,2024-06-30,931.45,2,0,0,0
NDL,2024-06-28,47.99,129,2024-06-30,47.99,2,0,0,0
NAVA,2024-06-28,746.2,8,2024-06-30,746.2,2,0,0,0
KIRLOSIND,2024-06-28,6001.65,1,2024-06-30,6001.65,2,0,0,0
ASHOKA,2024-06-28,224.56,27,2024-06-30,224.56,2,0,0,0
MRPL,2024-06-28,214.33,28,2024-06-30,214.33,2,0,0,0
SMCGLOBAL,2024-06-28,161.25,38,2024-06-30,161.25,2,0,0,0
KCP,2024-06-28,244.22,25,2024-06-30,244.22,2,0,0,0
ELECTCAST,2024-06-28,173.44,35,2024-06-30,173.44,2,0,0,0
IMFA,2024-06-28,742.45,8,2024-06-30,742.45,2,0,0,0
PETRONET,2024-06-28,330.25,18,2024-06-30,330.25,2,0,0,0
MANINDS,2024-06-28,413.2,15,2024-06-30,413.2,2,0,0,0
DLINKINDIA,2024-06-28,467.2,13,2024-06-30,467.2,2,0,0,0
MAHABANK,2024-06-28,64.81,95,2024-06-30,64.81,2,0,0,0
NATIONALUM,2024-06-28,187.11,33,2024-06-30,187.11,2,0,0,0
CHENNPETRO,2024-06-28,982.1,6,2024-06-30,982.1,2,0,0,0
GOACARBON,2024-06-28,806.05,7,2024-06-30,806.05,2,0,0,0
ALBERTDAVD,2024-06-28,1361.25,4,2024-06-30,1361.25,2,0,0,0
SANDESH,2024-06-28,1549.8,4,2024-06-30,1549.8,2,0,0,0
EIDPARRY,2024-06-28,763.75,8,2024-06-30,763.75,2,0,0,0
CANBK,2024-06-28,119.47,51,2024-06-30,119.47,2,0,0,0
CHAMBLFERT,2024-06-28,506.8,12,2024-06-30,506.8,2,0,0,0
